Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Agata Sitko,F,SBD,Raw,21.5,Open,69.85,185.0,195.0,-202.5,195.0,142.5,150.0,154.5,154.5,230.0,240.0,250.0,250.0,599.5,1,606.98,Yes,2024-03-15,Yes
Agata Sitko,F,SBD,Raw,21.5,Seniorki,74.04,175.0,,,175.0,140.0,,,140.0,200.0,,,200.0,515.0,1,505.04,Yes,2024-03-08,Yes
Agata Sitko,F,SBD,Raw,21.5,Open,68.9,185.0,192.5,197.5,197.5,146.0,152.0,154.0,154.0,235.0,242.0,248.5,248.5,600.0,1,612.2,Yes,2024-02-10,Yes
Agata Sitko,F,SBD,Raw,20.5,Open,74.86,180.0,187.5,195.0,195.0,137.5,145.0,152.5,152.5,225.0,240.0,-252.5,240.0,587.5,2,572.78,Yes,2023-10-22,Yes
Agata Sitko,F,SBD,Raw,20.5,Open,75.6,190.0,195.0,197.5,197.5,145.0,153.0,-156.0,153.0,220.0,230.0,240.0,240.0,590.5,2,572.73,Yes,2023-06-11,Yes
Agata Sitko,F,SBD,Raw,20.5,Open,76.0,187.5,195.0,-197.5,195.0,-146.0,-146.0,146.0,146.0,205.0,215.0,,215.0,556.0,11,537.78,Yes,2023-03-25,Yes
Agata Sitko,F,SBD,Raw,20.0,Open,79.68,-190.0,190.0,202.5,202.5,145.0,-156.0,-156.0,145.0,220.0,235.0,-242.5,235.0,582.5,1,549.96,Yes,2022-11-25,Yes
Agata Sitko,F,SBD,Raw,19.5,Juniors,77.85,180.0,190.0,195.0,195.0,138.0,147.5,-156.0,147.5,215.0,230.0,240.0,240.0,582.5,1,556.45,Yes,2022-08-31,Yes
Agata Sitko,F,SBD,Raw,19.5,Open,75.65,187.5,195.0,202.5,202.5,137.5,145.0,-150.0,145.0,225.0,235.0,237.5,237.5,585.0,2,567.2,Yes,2022-06-06,Yes
Agata Sitko,F,SBD,Raw,19.5,Seniorki,75.9,187.5,-192.5,192.5,192.5,130.0,137.5,145.0,145.0,220.0,230.0,,230.0,567.5,1,549.28,Yes,2022-05-06,Yes
Agata Sitko,F,SBD,Raw,19.5,Seniorki,75.9,180.0,187.5,192.5,192.5,135.0,140.0,144.0,144.0,210.0,-220.0,228.0,228.0,564.5,1,546.37,Yes,2022-03-11,Yes
Agata Sitko,F,SBD,Raw,19.5,Juniorki do lat 20,75.9,180.0,187.5,192.5,192.5,135.0,140.0,144.0,144.0,210.0,-220.0,228.0,228.0,564.5,1,546.37,Yes,2022-03-11,Yes
Agata Sitko,F,SBD,Raw,18.5,Juniors,75.66,172.5,-182.5,-182.5,172.5,120.0,125.5,-128.5,125.5,-190.0,190.0,202.5,202.5,500.5,2,485.23,Yes,2021-09-23,Yes
Agata Sitko,F,SBD,Raw,18.5,Seniorki,75.6,170.0,177.5,-183.0,177.5,120.0,-125.5,125.5,125.5,-195.0,195.0,200.0,200.0,503.0,1,487.86,Yes,2021-05-30,Yes
Agata Sitko,F,SBD,Raw,18.5,Juniorki do lat 20,75.6,170.0,177.5,-183.0,177.5,120.0,-125.5,125.5,125.5,-195.0,195.0,200.0,200.0,503.0,1,487.86,Yes,2021-05-30,Yes
Agata Sitko,F,SBD,Raw,17.5,Seniorki,70.5,155.0,165.0,-167.5,165.0,100.0,-107.5,-107.5,100.0,160.0,-170.0,170.0,170.0,435.0,2,438.15,Yes,2020-09-04,Yes
Agata Sitko,F,SBD,Raw,16.5,Juniorki do lat 18,69.7,-130.0,130.0,132.5,132.5,75.0,80.0,-82.5,80.0,130.0,135.0,140.0,140.0,352.5,2,357.33,Yes,2019-09-07,Yes
Agata Sitko,F,SBD,Raw,16.5,Seniorki,69.7,-130.0,130.0,132.5,132.5,75.0,80.0,-82.5,80.0,130.0,135.0,140.0,140.0,352.5,5,357.33,Yes,2019-09-07,Yes
