Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Anatolii Novopismennyi,M,SBD,Raw,,Open,104.58,340.0,355.0,363.0,363.0,217.5,227.5,-230.0,227.5,325.0,335.0,-350.0,335.0,925.5,8,559.07,Yes,2024-02-10,Yes
Anatolii Novopismennyi,M,SBD,Raw,26.5,Open,104.31,175.0,,,175.0,215.0,225.0,-234.0,225.0,125.0,,,125.0,525.0,16,317.47,Yes,2023-12-04,Yes
Anatolii Novopismennyi,M,SBD,Raw,26.5,Open,104.0,345.0,355.0,362.5,362.5,212.5,222.5,225.0,225.0,330.0,340.0,352.5,352.5,940.0,1,569.12,Yes,2023-06-11,Yes
Anatolii Novopismennyi,M,SBD,Raw,26.0,Open,102.78,335.0,350.0,-360.5,350.0,207.5,215.0,-220.0,215.0,330.0,340.0,-350.0,340.0,905.0,2,550.6,Yes,2022-11-25,Yes
Anatolii Novopismennyi,M,SBD,Raw,24.5,Open,104.35,340.0,-360.5,-360.5,340.0,215.0,-225.0,225.0,225.0,-335.0,335.0,350.0,350.0,915.0,2,553.22,Yes,2021-12-03,Yes
Anatolii Novopismennyi,M,SBD,Raw,24.5,Open,102.82,343.5,355.0,360.0,360.0,215.0,225.0,-231.0,225.0,330.0,342.5,352.5,352.5,937.5,1,570.28,Yes,2021-09-23,Yes
Anatolii Novopismennyi,M,SBD,Raw,24.0,Open,105.69,,,,360.0,,,,232.5,,,,340.0,932.5,1,560.91,Yes,2021-07-28,Yes
Anatolii Novopismennyi,M,SBD,Raw,24.0,Open,103.61,,,,345.0,,,,231.0,,,,335.0,911.0,1,552.41,Yes,2021-05-21,Yes
Anatolii Novopismennyi,M,SBD,Raw,22.5,Open,92.95,312.5,325.0,331.0,331.0,187.5,192.5,195.0,195.0,315.0,327.5,-337.5,327.5,853.5,1,543.18,Yes,2019-11-29,Yes
Anatolii Novopismennyi,M,SBD,Raw,22.0,Open,92.56,,,,327.5,,,,197.5,,,,345.0,870.0,1,554.81,Yes,2019-09-23,Yes
Anatolii Novopismennyi,M,SBD,Raw,22.5,Open,92.45,310.0,320.0,-330.5,320.0,185.0,192.5,197.5,197.5,315.0,325.0,335.0,335.0,852.5,1,543.96,Yes,2019-06-04,Yes
Anatolii Novopismennyi,M,SBD,Raw,21.5,Open,91.85,300.0,312.5,320.0,320.0,185.0,192.5,197.5,197.5,310.0,322.5,332.5,332.5,850.0,1,544.09,Yes,2018-11-24,Yes
Anatolii Novopismennyi,M,SBD,Raw,21.0,Open,91.8,,,,315.0,,,,197.5,,,,337.5,850.0,1,544.23,Yes,2018-03-13,Yes
Anatolii Novopismennyi,M,SBD,Raw,20.5,Open,92.29,-280.0,285.0,305.0,305.0,180.0,190.0,195.0,195.0,300.0,320.0,-330.0,320.0,820.0,4,523.66,Yes,2017-06-14,Yes
Anatolii Novopismennyi,M,SBD,Raw,19.5,Juniors,92.0,270.0,290.5,302.5,302.5,170.0,180.0,185.0,185.0,305.0,-325.0,325.0,325.0,812.5,1,519.67,Yes,2016-06-19,Yes
Anatolii Novopismennyi,M,SBD,Raw,18.5,Open,89.9,,,,290.0,,,,185.0,,,,325.0,800.0,1,517.57,Yes,2015-11-28,Yes
Anatolii Novopismennyi,M,SBD,Raw,18.5,Juniors,82.22,235.0,250.0,252.5,252.5,150.0,160.0,167.5,167.5,277.5,287.5,-312.5,287.5,707.5,2,480.18,Yes,2015-03-21,Yes
Anatolii Novopismennyi,M,SBD,Raw,17.5,Open,81.75,,,,240.0,,,,155.0,,,,285.0,680.0,1,463.03,Yes,2014-09-14,Yes
