Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Brittany Schlater,F,SBD,Raw,32.5,Open,126.56,262.5,277.5,285.0,285.0,147.5,152.5,157.5,157.5,-247.5,255.0,267.5,267.5,710.0,5,561.79,Yes,2024-02-10,Yes
Brittany Schlater,F,SBD,Raw,31.5,Open,127.6,255.0,270.0,281.0,281.0,142.5,150.0,155.0,155.0,235.0,247.5,257.5,257.5,693.5,1,547.66,Yes,2023-06-11,Yes
Brittany Schlater,F,SBD,Raw,31.5,Open,123.28,230.0,250.0,260.0,260.0,137.5,145.0,151.5,151.5,230.0,247.5,250.5,250.5,662.0,1,527.29,Yes,2023-02-13,Yes
Brittany Schlater,F,SBD,Raw,30.5,Open,122.75,232.5,242.5,250.5,250.5,135.0,142.5,149.0,149.0,-232.5,232.5,-262.0,232.5,632.0,1,503.96,Yes,2022-11-28,Yes
Brittany Schlater,F,SBD,Raw,30.5,Open,112.6,225.0,232.5,240.0,240.0,125.0,132.5,137.5,137.5,240.0,-252.5,-260.5,240.0,617.5,4,505.1,Yes,2022-06-06,Yes
Brittany Schlater,F,SBD,Raw,30.5,Open,108.85,202.5,212.5,220.0,220.0,107.5,115.0,122.5,122.5,192.5,205.0,217.5,217.5,560.0,1,463.26,Yes,2022-05-09,Yes
Brittany Schlater,F,SBD,Raw,29.5,Open,107.14,217.5,225.0,230.0,230.0,120.0,127.5,-130.0,127.5,232.5,245.0,250.0,250.0,607.5,1,505.33,Yes,2021-09-23,Yes
Brittany Schlater,F,SBD,Raw,28.5,Open,105.65,215.0,225.0,232.5,232.5,112.5,120.0,126.5,126.5,225.0,237.5,-251.5,237.5,596.5,1,498.66,Yes,2020-03-03,Yes
Brittany Schlater,F,SBD,Raw,27.5,Open,108.59,215.0,222.5,227.5,227.5,112.5,120.0,126.0,126.0,225.0,235.0,242.5,242.5,596.0,1,493.45,Yes,2019-11-03,Yes
Brittany Schlater,F,SBD,Raw,27.5,Open,114.55,-230.0,-230.0,230.0,230.0,115.0,120.0,-122.5,120.0,225.0,232.5,237.5,237.5,587.5,2,477.95,Yes,2019-06-04,Yes
Brittany Schlater,F,SBD,Raw,27.5,F_OR_ACPF,118.4,205.0,215.0,227.5,227.5,105.0,110.0,115.0,115.0,205.0,215.0,227.5,227.5,570.0,1,459.11,Yes,2019-03-23,Yes
Brittany Schlater,F,SBD,Raw,27.5,Open,118.5,,,,247.5,,,,125.5,,,,235.5,608.5,1,490.0,Yes,2019-03-04,Yes
Brittany Schlater,F,SBD,Raw,26.5,Open,128.3,,,,255.0,,,,125.0,,,,230.0,610.0,1,481.11,Yes,2018-11-02,Yes
Brittany Schlater,F,SBD,Raw,26.5,Open,125.9,,,,237.5,,,,117.5,,,,220.0,575.0,1,455.55,Yes,2018-08-24,Yes
Brittany Schlater,F,SBD,Raw,25.5,Open,120.4,,,,227.5,,,,115.5,,,,233.0,576.0,1,461.73,Yes,2017-11-16,Yes
Brittany Schlater,F,SBD,Raw,25.5,Open,115.9,,,,220.0,,,,105.0,,,,220.0,545.0,1,441.78,Yes,2017-07-08,Yes
Brittany Schlater,F,SBD,Raw,25.5,Open,110.2,,,,182.5,,,,97.5,,,,205.0,485.0,1,399.55,Yes,2017-01-05,Yes
Brittany Schlater,F,SBD,Raw,24.5,Open,106.1,,,,172.5,,,,92.5,,,,192.5,457.5,1,381.88,Yes,2016-11-12,Yes
Brittany Schlater,F,SBD,Raw,24.5,Open,90.0,,,,155.0,,,,77.5,,,,185.0,417.5,1,372.21,Yes,2016-07-09,Yes
Brittany Schlater,F,SBD,Raw,24.5,Open,102.1,,,,160.0,,,,75.0,,,,182.5,417.5,1,353.45,Yes,2016-04-23,Yes
