Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Gustav Hedlund,M,SBD,Raw,28.5,Open,92.7,300.0,315.0,325.0,325.0,197.5,-210.0,215.0,215.0,327.5,342.5,355.0,355.0,895.0,1,570.33,Yes,2024-02-10,Yes
Gustav Hedlund,M,SBD,Raw,27.5,Open,92.65,295.0,312.5,320.0,320.0,200.0,210.0,-217.5,210.0,320.0,332.5,345.0,345.0,875.0,2,557.73,Yes,2023-06-11,Yes
Gustav Hedlund,M,SBD,Raw,27.5,Open,92.75,,,,320.0,,,,217.5,,,,342.5,880.0,1,560.63,Yes,2023-02-02,Yes
Gustav Hedlund,M,SBD,Raw,27.0,Open,92.48,-290.0,-295.0,300.0,300.0,195.0,207.5,215.0,215.0,325.0,-340.0,-340.0,325.0,840.0,3,535.9,Yes,2022-11-25,Yes
Gustav Hedlund,M,SBD,Raw,26.5,Open,92.5,290.0,307.5,317.5,317.5,195.0,207.5,-212.5,207.5,330.0,340.0,-350.0,340.0,865.0,5,551.79,Yes,2022-06-06,Yes
Gustav Hedlund,M,SBD,Raw,26.5,Open,92.5,,,,310.0,,,,212.5,,,,340.0,862.5,1,550.2,Yes,2022-03-24,Yes
Gustav Hedlund,M,SBD,Raw,26.0,Open,92.6,290.0,305.0,315.0,315.0,195.0,205.0,-212.5,205.0,317.5,345.0,-355.0,345.0,865.0,1,551.5,Yes,2021-12-03,Yes
Gustav Hedlund,M,SBD,Raw,25.5,Open,92.88,290.0,302.5,312.5,312.5,192.5,202.5,210.0,210.0,322.5,335.0,-352.5,335.0,857.5,2,545.92,Yes,2021-09-23,Yes
Gustav Hedlund,M,SBD,Raw,24.0,Open,92.6,285.0,300.0,-305.0,300.0,190.0,197.5,-205.0,197.5,315.0,-345.0,-357.5,315.0,812.5,2,518.03,Yes,2019-11-29,Yes
Gustav Hedlund,M,SBD,Raw,23.5,Open,91.6,,,,292.5,,,,195.0,,,,315.0,802.5,1,514.37,Yes,2019-06-27,Yes
Gustav Hedlund,M,SBD,Raw,23.5,Open,92.25,282.5,292.5,300.0,300.0,192.5,200.0,205.0,205.0,312.5,327.5,337.5,337.5,842.5,2,538.14,Yes,2019-06-04,Yes
Gustav Hedlund,M,SBD,Raw,22.5,Juniors,91.35,285.0,295.0,-300.0,295.0,190.0,197.5,-203.5,197.5,317.5,-332.5,-332.5,317.5,810.0,1,519.88,Yes,2018-11-24,Yes
Gustav Hedlund,M,SBD,Raw,22.5,Open,92.45,,,,295.0,,,,195.0,,,,325.0,815.0,1,520.03,Yes,2018-07-05,Yes
Gustav Hedlund,M,SBD,Raw,22.5,Juniors,91.08,285.0,300.0,-302.5,300.0,190.0,200.0,-205.0,200.0,315.0,330.0,-350.0,330.0,830.0,1,533.49,Yes,2018-06-06,Yes
Gustav Hedlund,M,SBD,Raw,22.5,Juniors,91.85,,,,285.0,,,,190.0,,,,315.0,790.0,1,505.68,Yes,2018-04-27,Yes
Gustav Hedlund,M,SBD,Raw,22.0,Open,92.08,280.0,290.0,300.0,300.0,185.0,192.5,200.0,200.0,310.0,325.0,-340.0,325.0,825.0,1,527.44,Yes,2017-12-01,Yes
Gustav Hedlund,M,SBD,Raw,21.5,Juniors,90.51,275.0,287.5,-292.5,287.5,182.5,190.0,195.0,195.0,300.0,315.0,-317.5,315.0,797.5,1,514.2,Yes,2017-06-14,Yes
Gustav Hedlund,M,SBD,Raw,21.5,Juniors,90.35,,,,280.0,,,,190.0,,,,325.5,795.5,1,513.37,Yes,2017-04-25,Yes
Gustav Hedlund,M,SBD,Raw,21.5,Juniors,89.38,260.0,275.0,282.5,282.5,180.0,187.5,-192.5,187.5,300.0,315.0,-327.5,315.0,785.0,1,509.36,Yes,2017-03-12,Yes
Gustav Hedlund,M,SBD,Raw,20.5,Open,92.3,,,,250.0,,,,187.5,,,,310.0,747.5,1,477.34,Yes,2016-07-09,Yes
Gustav Hedlund,M,SBD,Raw,20.5,Juniors,91.0,,,,260.0,,,,185.0,,,,290.0,735.0,1,472.64,Yes,2016-05-04,Yes
Gustav Hedlund,M,SBD,Raw,20.5,Juniors,90.95,240.0,250.0,255.0,255.0,165.0,175.0,180.0,180.0,280.0,300.0,-305.0,300.0,735.0,1,472.76,Yes,2016-02-19,Yes
Gustav Hedlund,M,SBD,Raw,19.5,Juniors,91.65,,,,250.0,,,,165.0,,,,300.0,715.0,1,458.16,Yes,2015-11-14,Yes
Gustav Hedlund,M,SBD,Raw,19.5,Juniors,91.05,,,,230.0,,,,175.0,,,,270.0,675.0,2,433.93,Yes,2015-05-01,Yes
