Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Karlina Tongotea,F,SBD,Raw,,Open,75.6,217.5,226.0,230.5,230.5,120.0,125.0,127.5,127.5,242.5,-252.5,252.5,252.5,610.5,7,592.12,Yes,2024-02-10,Yes
Karlina Tongotea,F,SBD,Raw,30.0,Open,80.6,205.0,217.5,227.0,227.0,112.5,122.5,125.0,125.0,232.5,245.0,-260.5,245.0,597.0,1,560.44,Yes,2023-09-06,Yes
Karlina Tongotea,F,SBD,Raw,30.5,Open,75.65,215.0,222.5,225.5,225.5,115.0,120.0,122.5,122.5,235.0,242.5,245.0,245.0,593.0,1,574.95,Yes,2023-06-11,Yes
Karlina Tongotea,F,SBD,Raw,,Open,75.5,215.0,223.5,-232.0,223.5,115.0,120.0,-125.0,120.0,240.0,250.0,-257.5,250.0,593.5,9,576.04,Yes,2023-03-25,Yes
Karlina Tongotea,F,SBD,Raw,29.5,Open,75.25,210.0,219.0,223.0,223.0,117.5,122.0,-126.0,122.0,240.5,248.0,255.0,255.0,600.0,1,583.36,Yes,2022-11-28,Yes
Karlina Tongotea,F,SBD,Raw,29.5,Open,75.4,205.0,216.0,-220.0,216.0,120.0,-124.0,124.0,124.0,240.5,250.0,-260.0,250.0,590.0,1,573.04,Yes,2022-08-01,Yes
Karlina Tongotea,F,SBD,Raw,29.5,Open,75.3,202.5,211.0,215.0,215.0,115.0,121.0,-125.0,121.0,229.0,238.0,246.0,246.0,582.0,1,565.66,Yes,2022-03-26,Yes
Karlina Tongotea,F,SBD,Raw,,Open,71.7,191.0,200.0,-203.0,200.0,110.0,116.0,118.0,118.0,225.0,-235.0,235.0,235.0,553.0,1,551.83,Yes,2021-06-05,Yes
Karlina Tongotea,F,SBD,Raw,28.5,Open,71.8,180.0,190.0,-200.0,190.0,103.0,110.0,115.0,115.0,210.0,220.0,228.0,228.0,533.0,1,531.46,Yes,2021-01-30,Yes
Karlina Tongotea,F,SBD,Raw,,Open,74.6,174.0,182.0,185.0,185.0,105.0,112.0,-116.0,112.0,210.0,220.0,227.0,227.0,524.0,1,511.81,Yes,2020-07-18,Yes
Karlina Tongotea,F,SBD,Raw,27.5,Open,74.6,174.0,182.0,185.0,185.0,105.0,112.0,-116.0,112.0,210.0,220.0,227.0,227.0,524.0,1,511.81,Yes,2020-07-08,Yes
Karlina Tongotea,F,SBD,Raw,27.0,Open,69.9,165.0,170.0,173.0,173.0,91.0,96.0,100.0,100.0,198.0,212.0,215.0,215.0,488.0,1,493.89,Yes,2019-10-03,Yes
Karlina Tongotea,F,SBD,Raw,,Open,67.75,158.0,163.0,167.0,167.0,86.0,93.0,-100.0,93.0,195.0,205.0,215.0,215.0,475.0,1,489.34,Yes,2019-07-26,Yes
Karlina Tongotea,F,SBD,Raw,25.5,Open,63.6,137.5,150.0,155.0,155.0,85.0,-92.5,92.5,92.5,175.0,190.0,-205.0,190.0,437.5,1,467.84,Yes,2018-12-14,Yes
Karlina Tongotea,F,SBD,Raw,25.5,Open,68.56,145.0,152.5,157.5,157.5,75.0,82.5,90.0,90.0,170.0,185.0,200.5,200.5,448.0,2,458.4,Yes,2018-08-23,Yes
Karlina Tongotea,F,SBD,Raw,25.5,Open,69.5,135.0,145.0,150.0,150.0,75.0,80.0,85.0,85.0,175.0,185.0,-192.5,185.0,420.0,1,426.44,Yes,2018-06-02,Yes
Karlina Tongotea,F,SBD,Raw,25.5,Open,69.0,140.0,147.5,-152.5,147.5,70.0,75.0,80.0,80.0,160.0,170.0,175.0,175.0,402.5,2,410.35,Yes,2018-04-08,Yes
