Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Natalie Richards #1,F,SBD,Raw,25.5,Open,56.36,172.5,180.0,186.5,186.5,100.0,107.5,110.0,110.0,205.0,220.0,-230.0,220.0,516.5,9,596.16,Yes,2024-02-10,Yes
Natalie Richards #1,F,SBD,Raw,24.5,Open,55.8,165.0,172.5,180.0,180.0,97.5,105.0,107.5,107.5,200.0,215.0,225.0,225.0,512.5,1,595.46,Yes,2023-06-11,Yes
Natalie Richards #1,F,SBD,Raw,24.5,FR-O,56.36,160.0,167.5,175.0,175.0,97.5,105.0,-110.0,105.0,198.0,210.0,221.5,221.5,501.5,1,578.84,Yes,2023-02-24,Yes
Natalie Richards #1,F,SBD,Raw,23.5,FR-O,58.62,65.0,,,65.0,65.0,,,65.0,65.0,,,65.0,195.0,1,219.39,Yes,2022-11-05,Yes
Natalie Richards #1,F,SBD,Raw,23.5,FR-O,57.35,162.5,172.5,178.5,178.5,92.5,102.5,107.5,107.5,185.0,205.0,215.0,215.0,501.0,1,571.7,Yes,2022-10-15,Yes
Natalie Richards #1,F,SBD,Raw,22.5,FR-Jr,56.15,162.5,167.5,172.5,172.5,92.5,97.5,100.0,100.0,190.0,205.0,212.5,212.5,485.0,2,561.18,Yes,2021-12-04,Yes
Natalie Richards #1,F,SBD,Raw,22.5,FR-O,56.1,155.0,160.0,167.5,167.5,90.0,95.0,97.5,97.5,190.0,200.0,205.0,205.0,470.0,1,544.14,Yes,2021-06-12,Yes
Natalie Richards #1,F,SBD,Raw,22.5,FR-Jr,56.1,155.0,160.0,167.5,167.5,90.0,95.0,97.5,97.5,190.0,200.0,205.0,205.0,470.0,1,544.14,Yes,2021-06-12,Yes
Natalie Richards #1,F,SBD,Raw,21.5,FR-Jr,55.6,150.0,160.0,167.5,167.5,85.0,90.0,-95.0,90.0,165.0,-180.0,182.5,182.5,440.0,1,512.44,Yes,2020-12-13,Yes
Natalie Richards #1,F,SBD,Raw,21.5,FR-O,55.6,150.0,160.0,167.5,167.5,85.0,90.0,-95.0,90.0,165.0,-180.0,182.5,182.5,440.0,1,512.44,Yes,2020-12-13,Yes
Natalie Richards #1,F,SBD,Raw,21.5,FR-O,56.3,142.5,150.0,157.5,157.5,75.0,80.0,-85.0,80.0,142.5,155.0,-170.0,155.0,392.5,1,453.35,Yes,2020-06-20,Yes
Natalie Richards #1,F,SBD,Raw,20.5,FR-O,54.95,127.5,137.5,-142.5,137.5,70.0,75.0,77.5,77.5,125.0,130.0,135.0,135.0,350.0,1,410.84,Yes,2019-11-02,Yes
Natalie Richards #1,F,SBD,Raw,20.5,FR-Jr,54.95,127.5,137.5,-142.5,137.5,70.0,75.0,77.5,77.5,125.0,130.0,135.0,135.0,350.0,1,410.84,Yes,2019-11-02,Yes
