Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Panagiotis Tarinidis,M,SBD,Raw,29.0,Open,65.79,240.0,-252.5,-252.5,240.0,160.0,170.0,172.5,172.5,270.0,290.0,-297.5,290.0,702.5,5,551.73,Yes,2024-02-10,Yes
Panagiotis Tarinidis,M,SBD,Raw,29.0,Prime Time,68.9,225.0,240.0,247.5,247.5,160.0,170.0,172.5,172.5,270.0,-290.0,-290.0,270.0,690.0,1,524.07,Yes,2023-12-16,Yes
Panagiotis Tarinidis,M,SBD,Raw,29.0,Open,65.66,230.0,-245.0,-245.0,230.0,160.0,170.0,,170.0,260.0,280.0,-290.0,280.0,680.0,1,534.85,Yes,2023-12-04,Yes
Panagiotis Tarinidis,M,SBD,Raw,28.0,Open,65.8,235.0,250.0,-253.0,250.0,162.5,172.5,-174.0,172.5,270.0,-292.5,-292.5,270.0,692.5,1,543.82,Yes,2023-09-20,Yes
Panagiotis Tarinidis,M,SBD,Raw,28.0,Prime Time,65.99,230.0,245.0,-250.0,245.0,160.0,170.0,-175.0,170.0,260.0,282.5,-287.5,282.5,697.5,3,546.57,Yes,2023-07-01,Yes
Panagiotis Tarinidis,M,SBD,Raw,28.0,Open,65.95,235.0,247.5,-252.5,247.5,165.0,170.0,172.5,172.5,270.0,285.0,-292.5,285.0,705.0,1,552.7,Yes,2023-06-11,Yes
Panagiotis Tarinidis,M,SBD,Raw,28.0,Seniors,66.0,225.0,240.0,-245.0,240.0,160.0,165.0,167.5,167.5,270.0,280.0,-285.0,280.0,687.5,1,538.67,Yes,2023-03-19,Yes
Panagiotis Tarinidis,M,SBD,Raw,27.0,Prime Time,66.79,245.0,260.0,-265.0,260.0,152.5,-157.5,-157.5,152.5,270.0,280.0,-287.5,280.0,692.5,2,537.86,Yes,2022-07-02,Yes
Panagiotis Tarinidis,M,SBD,Raw,27.0,Open,66.0,235.0,245.0,250.0,250.0,155.0,-160.0,-160.0,155.0,265.0,-277.5,-282.5,265.0,670.0,5,524.96,Yes,2022-06-06,Yes
Panagiotis Tarinidis,M,SBD,Raw,27.0,Open,65.85,242.5,250.0,-252.5,250.0,165.0,170.0,-172.5,170.0,270.0,277.5,280.0,280.0,700.0,1,549.4,Yes,2021-12-03,Yes
Panagiotis Tarinidis,M,SBD,Raw,26.0,Open,65.82,-240.0,240.0,247.5,247.5,160.0,165.0,167.5,167.5,270.0,277.5,-285.0,277.5,692.5,1,543.69,Yes,2021-09-23,Yes
Panagiotis Tarinidis,M,SBD,Raw,26.0,Open,65.62,245.0,-252.5,252.5,252.5,160.0,168.5,-170.0,168.5,267.5,-277.5,-277.5,267.5,688.5,1,541.78,Yes,2021-07-16,Yes
Panagiotis Tarinidis,M,SBD,Raw,26.0,Prime Time,67.72,245.0,255.0,260.0,260.0,160.0,167.5,-170.0,167.5,267.5,-280.0,280.0,280.0,707.5,1,544.02,Yes,2021-07-03,Yes
Panagiotis Tarinidis,M,SBD,Raw,26.0,Seniors,65.67,240.0,247.5,-252.5,247.5,160.0,165.0,168.5,168.5,267.5,280.0,-290.0,280.0,696.0,1,547.37,Yes,2021-02-13,Yes
Panagiotis Tarinidis,M,SBD,Raw,25.0,Prime Time,68.35,75.0,,,75.0,162.5,170.0,-172.5,170.0,75.0,,,75.0,320.0,4,244.43,Yes,2020-09-12,Yes
Panagiotis Tarinidis,M,SBD,Raw,24.0,Open,66.95,225.0,-232.5,232.5,232.5,162.5,167.5,170.0,170.0,245.0,260.0,267.5,267.5,670.0,2,519.48,Yes,2019-09-20,Yes
Panagiotis Tarinidis,M,SBD,Raw,24.0,Open,65.85,225.0,-235.0,-235.0,225.0,160.0,-167.5,-167.5,160.0,255.0,-265.0,-267.5,255.0,640.0,5,502.3,Yes,2019-06-04,Yes
Panagiotis Tarinidis,M,SBD,Raw,24.0,Open,67.23,220.0,232.5,-237.5,232.5,160.0,165.0,167.5,167.5,250.0,255.0,257.5,257.5,657.5,2,508.24,Yes,2019-03-16,Yes
Panagiotis Tarinidis,M,SBD,Raw,23.5,Open,65.8,217.5,227.5,-232.5,227.5,152.5,157.5,160.0,160.0,235.0,245.0,-252.5,245.0,632.5,2,496.7,Yes,2018-11-24,Yes
Panagiotis Tarinidis,M,SBD,Raw,23.0,Seniors,65.86,200.0,212.5,-222.5,212.5,150.0,157.5,-162.5,157.5,230.0,-240.0,240.0,240.0,610.0,1,478.71,Yes,2018-09-01,Yes
Panagiotis Tarinidis,M,SBD,Raw,23.0,Open,65.78,-205.0,-205.0,205.0,205.0,145.0,-150.0,150.0,150.0,225.0,237.5,-242.5,237.5,592.5,2,465.39,Yes,2018-04-28,Yes
Panagiotis Tarinidis,M,SBD,Raw,23.0,Seniors,66.0,-205.0,205.0,,205.0,135.0,140.0,,140.0,200.0,215.0,225.0,225.0,570.0,1,446.61,Yes,2018-01-21,Yes
Panagiotis Tarinidis,M,SBD,Raw,22.0,Juniors,73.12,200.0,207.5,-210.0,207.5,-140.0,145.0,-147.5,145.0,210.0,220.0,-240.0,220.0,572.5,3,417.55,Yes,2017-04-29,Yes
Panagiotis Tarinidis,M,SBD,Raw,22.0,Juniors,74.0,-175.0,175.0,185.0,185.0,115.0,120.0,125.0,125.0,190.0,200.0,210.0,210.0,520.0,1,376.3,Yes,2016-12-18,Yes
