Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Prescillia Bavoil,F,SBD,Raw,30.0,Open,66.46,207.5,218.0,225.0,225.0,110.0,117.5,122.5,122.5,225.0,235.0,237.5,237.5,585.0,2,609.42,Yes,2024-02-10,Yes
Prescillia Bavoil,F,SBD,Raw,29.0,Open,65.25,195.0,205.0,211.5,211.5,105.0,110.0,115.0,115.0,210.0,222.5,-240.5,222.5,549.0,1,578.14,Yes,2023-06-11,Yes
Prescillia Bavoil,F,SBD,Raw,29.0,Open,66.3,195.0,206.0,211.0,211.0,105.0,112.5,115.0,115.0,210.0,222.5,-234.5,222.5,548.5,8,572.2,Yes,2023-03-25,Yes
Prescillia Bavoil,F,SBD,Raw,28.0,Open,62.6,200.0,210.5,213.0,213.0,102.5,110.0,112.5,112.5,210.0,222.5,231.0,231.0,556.5,1,600.86,Yes,2022-09-23,Yes
Prescillia Bavoil,F,SBD,Raw,28.0,Open,65.0,192.5,202.5,210.5,210.5,105.0,112.5,115.0,115.0,215.0,225.0,-235.0,225.0,550.5,1,581.04,Yes,2022-03-19,Yes
Prescillia Bavoil,F,SBD,Raw,27.5,Open,65.15,-190.0,195.5,205.5,205.5,100.0,107.5,112.5,112.5,215.0,225.0,230.0,230.0,548.0,1,577.61,Yes,2021-12-03,Yes
Prescillia Bavoil,F,SBD,Raw,27.0,Open,65.44,187.5,195.0,200.0,200.0,100.0,105.0,107.5,107.5,210.0,220.0,227.5,227.5,535.0,1,562.43,Yes,2021-10-30,Yes
Prescillia Bavoil,F,SBD,Raw,27.0,Open,62.86,195.0,205.0,-210.0,205.0,107.5,112.5,-115.0,112.5,215.0,225.0,230.5,230.5,548.0,1,590.18,Yes,2021-09-23,Yes
Prescillia Bavoil,F,SBD,Raw,27.0,Open,64.93,195.0,202.5,210.0,210.0,105.0,110.0,112.5,112.5,215.0,225.0,230.0,230.0,552.5,1,583.53,Yes,2021-07-16,Yes
Prescillia Bavoil,F,SBD,Raw,27.0,Prime Time,64.85,190.0,200.0,205.0,205.0,105.0,112.5,-117.5,112.5,210.0,220.0,227.5,227.5,545.0,1,576.03,Yes,2021-07-03,Yes
Prescillia Bavoil,F,SBD,Raw,27.0,Seniors,62.91,200.0,210.0,-218.0,210.0,102.5,110.0,112.5,112.5,210.0,-220.0,225.0,225.0,547.5,1,589.36,Yes,2021-02-13,Yes
Prescillia Bavoil,F,SBD,Raw,26.0,Prime Time,64.1,192.5,200.0,210.0,210.0,102.5,110.0,112.5,112.5,210.0,220.0,-227.5,220.0,542.5,1,577.39,Yes,2020-09-12,Yes
Prescillia Bavoil,F,SBD,Raw,25.0,Open,63.0,-182.5,185.0,193.0,193.0,97.5,102.5,105.0,105.0,200.0,207.5,216.0,216.0,514.0,1,552.81,Yes,2019-11-29,Yes
Prescillia Bavoil,F,SBD,Raw,25.0,Open,62.55,175.0,184.0,188.0,188.0,95.0,100.0,-102.5,100.0,187.5,197.5,202.5,202.5,490.5,3,529.85,Yes,2019-06-04,Yes
Prescillia Bavoil,F,SBD,Raw,25.0,Open,62.79,165.0,172.5,180.0,180.0,90.0,95.0,-100.0,95.0,182.5,192.5,200.5,200.5,475.5,1,512.45,Yes,2019-03-16,Yes
Prescillia Bavoil,F,SBD,Raw,24.0,Open,62.25,-170.0,-175.0,175.0,175.0,87.5,92.5,95.0,95.0,190.0,200.0,-207.5,200.0,470.0,2,509.21,Yes,2018-11-24,Yes
Prescillia Bavoil,F,SBD,Raw,24.0,Seniors,62.97,162.5,170.0,175.0,175.0,85.0,90.0,92.5,92.5,182.5,192.5,200.0,200.0,467.5,1,502.95,Yes,2018-09-01,Yes
Prescillia Bavoil,F,SBD,Raw,24.0,Open,61.59,160.0,-165.0,165.0,165.0,82.5,87.5,-90.0,87.5,185.0,192.5,,192.5,445.0,1,485.3,Yes,2018-04-28,Yes
Prescillia Bavoil,F,SBD,Raw,23.0,Seniors,61.2,152.5,160.0,,160.0,85.0,90.0,,90.0,180.0,-190.0,,180.0,430.0,1,470.8,Yes,2017-12-02,Yes
Prescillia Bavoil,F,SBD,Raw,23.0,Open,60.97,-152.5,-152.5,152.5,152.5,80.0,85.0,87.5,87.5,170.0,177.5,-182.5,177.5,417.5,1,458.18,Yes,2017-04-08,Yes
Prescillia Bavoil,F,SBD,Raw,22.0,Seniors,61.9,130.0,135.0,140.0,140.0,75.0,,,75.0,155.0,162.5,170.0,170.0,385.0,1,418.57,Yes,2016-11-20,Yes
Prescillia Bavoil,F,SBD,Raw,22.0,Juniors,61.4,130.0,-135.0,135.0,135.0,75.0,77.5,80.0,80.0,150.0,155.0,160.0,160.0,375.0,1,409.75,Yes,2016-04-30,Yes
Prescillia Bavoil,F,SBD,Raw,22.0,Juniors,60.7,100.0,110.0,120.0,120.0,60.0,70.0,75.0,75.0,130.0,140.0,150.0,150.0,345.0,1,379.67,Yes,2016-01-24,Yes
