Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Amanda Lawrence #1,F,SBD,Raw,26,24-34,24-39,Open,83.51,,235,249.5,-253,,249.5,122.5,130,135,,135,242.5,262.5,-269,,262.5,647,11,597.00,578.65,506.09,122.47,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Amanda Lawrence #1,F,SBD,Raw,26,24-34,24-39,Open,83.65,84,230,242.5,249,,249,122.5,127.5,130,,130,242.5,257.5,-267.5,,257.5,636.5,1,586.84,568.78,497.40,120.40,Yes,USA,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Amanda Lawrence #1,F,SBD,Raw,25,24-34,24-39,Open,83.4,,230,244,246.5,,246.5,120,125,130,,130,242.5,261,268.5,,268.5,645,4,595.53,577.25,504.91,122.15,Yes,USA,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Amanda Lawrence #1,F,SBD,Raw,25,24-34,24-39,Open,83.3,84,225,235,242.5,,242.5,120,-127.5,-127.5,,120,237.5,252.5,-263,,252.5,615,1,568.16,550.74,481.76,116.53,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Amanda Lawrence #1,F,SBD,Raw,24,24-34,24-39,FR-O,83.81,84,227.5,237.5,242.5,,242.5,120,127.5,130,,130,235,245,253,,253,625.5,1,576.18,558.42,488.27,118.23,Yes,USA,MN,AMP,IPF,2022-04-01,USA,TX,Austin,Classic Open Nationals Presented by SBD,Yes
Amanda Lawrence #1,F,SBD,Raw,24,24-34,24-39,Open,83.26,84,232.5,243.5,-250,,243.5,122.5,130,132.5,,132.5,240,258,260.5,,260.5,636.5,1,588.15,570.13,498.74,120.62,Yes,US Virgin Islands,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Amanda Lawrence #1,F,SBD,Raw,24,24-34,24-39,FR-O,83.46,84,235,240,-245,,240,122.5,130,-132.5,,130,240,255,,,255,625,1,576.87,559.15,489.05,118.33,Yes,USA,MN,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Raw Nationals,Yes
Amanda Lawrence #1,F,SBD,Raw,23,20-23,19-23,FR-O,83.7,84,235,251,256,,256,120,125,130,,130,237.5,253,260,,260,646,1,595.43,577.10,504.65,122.17,Yes,USA,MN,USAPL,IPF,2020-11-21,USA,WI,,Gainsgiving Open,Yes
Amanda Lawrence #1,F,SBD,Raw,22,20-23,19-23,FR-Jr,83.41,84,230,243.5,250.5,,250.5,115,-122.5,-122.5,,115,235,247.5,-253,,247.5,613,1,565.95,548.58,479.83,116.09,Yes,USA,MN,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals,Yes
Amanda Lawrence #1,F,SBD,Raw,22,20-23,19-23,FR-O,83.41,84,230,243.5,250.5,,250.5,115,-122.5,-122.5,,115,235,247.5,-253,,247.5,613,1,565.95,548.58,479.83,116.09,Yes,USA,MN,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals,Yes
Amanda Lawrence #1,F,SBD,Raw,22,20-23,19-23,Open,83.05,84,230.5,243,-248,,243,105,112.5,117.5,,117.5,231,245.5,252.5,,252.5,613,1,567.13,549.79,481.03,116.29,Yes,USA,,IPF,IPF,2019-06-04,Sweden,,Helsingborg,World Classic Powerlifting Championships,Yes
Amanda Lawrence #1,F,D,Raw,21,20-23,19-23,F-O,87.21,84+,,,,,,,,,,,237.5,-250,-250,,237.5,237.5,3,214.75,208.04,181.34,,Yes,USA,MN,USAPL,IPF,2019-03-03,USA,OH,Columbus,Arnold Pro Deadlift,Yes
Amanda Lawrence #1,F,SBD,Raw,21,20-23,19-23,FR-O,83.6,84,240,-250,-250,,240,100,105,110,,110,-232.5,246,-252.5,,246,596,1,549.66,532.75,465.91,112.76,Yes,USA,MN,USAPL,IPF,2019-03-02,USA,OH,Columbus,Arnold SBD Grand Prix,Yes
Amanda Lawrence #1,F,SBD,Raw,21,20-23,19-23,FR-Jr,83.2,84,226,238.5,-246,,238.5,102.5,107.5,-110,,107.5,220,235.5,245,,245,591,2,546.30,529.57,463.28,112.03,Yes,USA,MN,USAPL,IPF,2018-10-11,USA,WA,Spokane,Raw Nationals,Yes
Amanda Lawrence #1,F,SBD,Raw,21,20-23,19-23,FR-O,83.2,84,226,238.5,-246,,238.5,102.5,107.5,-110,,107.5,220,235.5,245,,245,591,2,546.30,529.57,463.28,112.03,Yes,USA,MN,USAPL,IPF,2018-10-11,USA,WA,Spokane,Raw Nationals,Yes
Amanda Lawrence #1,F,SBD,Raw,21,20-23,19-23,FR-Jr,83.3,84,215,225,-227.5,,225,100,-105,-105,,100,215,-227.5,227.5,,227.5,552.5,1,510.42,494.77,432.80,104.68,Yes,USA,MN,USAPL,IPF,2018-06-16,USA,MN,,Med City Raw Open,Yes
Amanda Lawrence #1,F,SBD,Raw,20,20-23,19-23,FR-O,82.12,84,210,-220,220,,220,92.5,-97.5,-97.5,,92.5,195,207.5,215,,215,527.5,1,490.69,475.88,416.68,100.52,Yes,USA,MN,USAPL,IPF,2018-03-02,USA,OH,,The Arnold A7 Bar Grip Pro Raw Challenge,Yes
Amanda Lawrence #1,F,SBD,Raw,20,20-23,19-23,FR-Jr,82.2,84,197.5,205,-210,,205,92.5,95,97.5,,97.5,187.5,195,200,,200,502.5,1,467.21,453.10,396.70,95.72,Yes,USA,MN,USAPL,IPF,2018-01-20,USA,MN,,MN Women's State Championship,Yes
Amanda Lawrence #1,F,SBD,Raw,20,20-23,19-23,FR-O,81.78,84,192.5,202.5,207,,207,85,-95,-95,,85,182.5,192.5,-200,,192.5,484.5,4,451.60,438.05,383.66,92.49,Yes,USA,MN,USAPL,IPF,2017-10-10,USA,FL,Orlando,Raw National Championships,Yes
Amanda Lawrence #1,F,SBD,Raw,20,20-23,19-23,FR-Jr,81.78,84,192.5,202.5,207,,207,85,-95,-95,,85,182.5,192.5,-200,,192.5,484.5,2,451.60,438.05,383.66,92.49,Yes,USA,MN,USAPL,IPF,2017-10-10,USA,FL,Orlando,Raw National Championships,Yes
Amanda Lawrence #1,F,SBD,Raw,20,20-23,19-23,FR-Jr,87.98,84+,192.5,200,-205,,200,82.5,87.5,-92.5,,87.5,185,195,-200,,195,482.5,1,434.55,420.99,366.69,89.56,Yes,USA,MN,USAPL,IPF,2017-06-10,USA,MN,,Twin Ports Raw Open,Yes
Amanda Lawrence #1,F,SBD,Raw,19,18-19,19-23,FR-T3,85.2,84+,-182.5,-182.5,182.5,,182.5,75,-85,-85,,75,182.5,192.5,-200,,192.5,450,1,411.31,398.50,348.02,84.52,Yes,USA,MN,USAPL,IPF,2017-02-18,USA,MN,,Minnesota Women's State Championship,Yes
Amanda Lawrence #1,F,SBD,Raw,19,18-19,19-23,FR-T3,83.9,84,170,-180,-180,,170,70,75,-80,,75,165,175,180,,180,425,1,391.29,379.22,331.55,80.30,Yes,USA,MN,USAPL,IPF,2016-08-20,USA,MN,,Twin Cities Open,Yes
Amanda Lawrence #1,F,SBD,Raw,19,18-19,19-23,FR-O,79.7,84,-167.5,167.5,-180,,167.5,62.5,67.5,-72.5,,67.5,147.5,157.5,162.5,,162.5,397.5,1,375.25,364.48,319.71,76.71,Yes,USA,MN,USAPL,IPF,2016-06-11,USA,MN,,Twin Ports Raw Open,Yes
