Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Anatolii Novopismennyi,M,SBD,Raw,,,,Open,104.58,,340,355,363,,363,217.5,227.5,-230,,227.5,325,335,-350,,335,925.5,8,559.07,553.82,528.83,114.48,Yes,Ukraine,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,26.5,24-34,24-39,Open,104.31,105,175,,,,175,215,225,-234,,225,125,,,,125,525,16,317.47,314.45,300.26,65.02,Yes,Ukraine,,EPF,IPF,2023-12-04,Estonia,,Tartu,European Open Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,26.5,24-34,24-39,Open,104,105,345,355,362.5,,362.5,212.5,222.5,225,,225,330,340,352.5,,352.5,940,1,569.12,563.61,538.17,116.58,Yes,Ukraine,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,26,24-34,24-39,Open,102.78,105,335,350,-360.5,,350,207.5,215,-220,,215,330,340,-350,,340,905,2,550.60,544.98,520.38,112.86,Yes,Ukraine,,EPF,IPF,2022-11-25,Poland,,Skierniewice,European Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,24.5,24-34,24-39,Open,104.35,105,340,-360.5,-360.5,,340,215,-225,225,,225,-335,335,350,,350,915,2,553.22,547.96,523.23,113.30,Yes,Ukraine,,EPF,IPF,2021-12-03,Sweden,,Vasteras,European Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,B,Raw,24.5,24-34,24-39,Open,103.85,105,,,,,,215,225,-230,,225,,,,,,225,3,136.31,134.98,128.88,101.26,Yes,Ukraine,,IPF,IPF,2021-10-22,Lithuania,,Vilnius,World Bench Press Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,24.5,24-34,24-39,Open,102.82,105,343.5,355,360,,360,215,225,-231,,225,330,342.5,352.5,,352.5,937.5,1,570.28,564.47,538.99,116.89,Yes,Ukraine,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,24,24-34,24-39,Open,105.69,120,,,,,360,,,,,232.5,,,,,340,932.5,1,560.91,555.95,530.91,114.78,Yes,Ukraine,,IranBBF,IPF,2021-07-28,Iran,,Urmia,International Club Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,24,24-34,24-39,Open,103.61,105,,,,,345,,,,,231,,,,,335,911,1,552.41,546.97,522.27,113.18,Yes,Ukraine,,UkrainePF,IPF,2021-05-21,Ukraine,,,Ukrainian Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,22.5,20-23,19-23,Open,92.95,93,312.5,325,331,,331,187.5,192.5,195,,195,315,327.5,-337.5,,327.5,853.5,1,543.18,536.30,513.30,111.69,Yes,Ukraine,,EPF,IPF,2019-11-29,Lithuania,,Kaunas,European Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,22,20-23,19-23,Open,92.56,93,,,,,327.5,,,,,197.5,,,,,345,870,1,554.81,547.76,524.36,114.08,Yes,Ukraine,,UkrainePF,IPF,2019-09-23,Ukraine,,Kharkiv,Ukrainian Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,22.5,20-23,19-23,Open,92.45,93,310,320,-330.5,,320,185,192.5,197.5,,197.5,315,325,335,,335,852.5,1,543.96,537.05,514.13,111.85,Yes,Ukraine,,IPF,IPF,2019-06-04,Sweden,,Helsingborg,World Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,21.5,20-23,19-23,Open,91.85,93,300,312.5,320,,320,185,192.5,197.5,,197.5,310,322.5,332.5,,332.5,850,1,544.09,537.17,514.38,111.88,Yes,Ukraine,,EPF,IPF,2018-11-24,Lithuania,,Kaunas,European Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,21,20-23,19-23,Open,91.8,93,,,,,315,,,,,197.5,,,,,337.5,850,1,544.23,537.31,514.53,111.91,Yes,Ukraine,,UkrainePF,IPF,2018-03-13,Ukraine,,Kolomyia,Ukrainian Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,20.5,20-23,19-23,Open,92.29,93,-280,285,305,,305,180,190,195,,195,300,320,-330,,320,820,4,523.66,517.01,494.98,107.68,Yes,Ukraine,,IPF,IPF,2017-06-14,Belarus,,Minsk,World Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,19.5,20-23,19-23,Juniors,92,93,270,290.5,302.5,,302.5,170,180,185,,185,305,-325,325,,325,812.5,1,519.67,513.06,491.26,106.86,Yes,Ukraine,,IPF,IPF,2016-06-19,USA,TX,Killeen,World Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,18.5,18-19,19-23,Open,89.9,93,,,,,290,,,,,185,,,,,325,800,1,517.57,511.00,489.77,106.41,Yes,Ukraine,,UkrainePF,IPF,2015-11-28,Ukraine,,Kolomyia,Ukrainian Classic Powerlifting Cup,Yes
Anatolii Novopismennyi,M,SBD,Raw,18.5,18-19,19-23,Juniors,82.22,83,235,250,252.5,,252.5,150,160,167.5,,167.5,277.5,287.5,-312.5,,287.5,707.5,2,480.18,474.93,457.04,98.41,Yes,Ukraine,,EPF,IPF,2015-03-21,Czechia,,Pilsen,1st European Men's Classic Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,17.5,18-19,14-18,Open,81.75,83,,,,,240,,,,,155,,,,,285,680,1,463.03,458.05,440.92,94.86,Yes,Ukraine,,UkrainePF,IPF,2014-09-14,Ukraine,,Kolomyia,Ukrainian Classic Powerlifting Championships,Yes
