Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Carl Johansson,M,SBD,Raw,23,20-23,24-39,Open,73.75,,252.5,265,270,,270,177.5,-185,185,,185,310,330.5,-340.5,,330.5,785.5,9,569.68,566.38,547.65,115.52,Yes,Sweden,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Carl Johansson,M,B,Raw,23,20-23,19-23,Open,77.55,83,,,,,,,,,,187.5,,,,,,187.5,1,131.73,130.61,126.01,97.55,Yes,Sweden,,SSF,IPF,2023-12-17,Sweden,,,Lag SM Klassisk Bänkpress,Yes
Carl Johansson,M,SBD,Raw,22,20-23,19-23,Open,73.65,74,252.5,262.5,267.5,,267.5,170,177.5,182.5,,182.5,305,320,328,,328,778,1,564.74,561.52,542.98,114.50,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Carl Johansson,M,SBD,Raw,22,20-23,19-23,Open,73.8,74,,,,,261,,,,,177.5,,,,,316,754.5,1,546.96,543.77,525.77,110.92,Yes,Sweden,,SSF,IPF,2023-02-02,Sweden,,,SM Klassisk Styrkelyft,Yes
Carl Johansson,M,SBD,Raw,22,20-23,19-23,Juniors,73.49,74,235,247.5,252.5,,252.5,160,167.5,170,,170,270,280,308.5,,308.5,731,1,531.38,528.42,511.02,107.70,Yes,Sweden,,EPF,IPF,2022-11-25,Poland,,Skierniewice,European Classic Powerlifting Championships,Yes
Carl Johansson,M,SBD,Raw,21,20-23,19-23,Juniors,73.55,74,232.5,245,250,,250,157.5,162.5,167.5,,167.5,282.5,295,300,,300,717.5,1,521.29,518.36,501.27,105.67,Yes,Sweden,,IPF,IPF,2022-08-31,Turkey,,Istanbul,World Junior Classic Powerlifting Championships,Yes
Carl Johansson,M,SBD,Raw,20,20-23,19-23,Juniors,73.16,74,230,242.5,-247.5,,242.5,155,160,162.5,,162.5,267.5,282.5,297.5,,297.5,702.5,3,512.17,509.46,492.78,103.75,Yes,Sweden,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Carl Johansson,M,SBD,Raw,19,18-19,19-23,Open,73.95,74,220,227.5,-235,,227.5,152.5,160,165,,165,260,280,-290,,280,672.5,1,486.87,483.97,467.91,98.76,Yes,Sweden,,SSF,IPF,2020-09-05,Sweden,,Kungsbacka,Serie 3 Kungsbacka,Yes
Carl Johansson,M,SBD,Raw,19,18-19,19-23,Juniors,72.95,74,,,,,230,,,,,145,,,,,270,645,1,471.14,468.73,453.45,95.40,Yes,Sweden,,SSF,IPF,2020-02-14,Sweden,,,Junior SM Klassisk Styrkelyft,Yes
Carl Johansson,M,B,Raw,18,18-19,19-23,Open,73.05,74,,,,,,,,,,152.5,,,,,,152.5,1,111.29,110.71,107.10,81.89,Yes,Sweden,,SSF,IPF,2019-09-07,Sweden,,,DM Klassisk Bänkpress VGSF,Yes
Carl Johansson,M,SBD,Raw,18,18-19,19-23,Open,72.8,74,,,,,220,,,,,150,,,,,240,610,4,446.19,443.96,429.52,90.32,Yes,Sweden,,SSF,IPF,2019-06-27,Sweden,,,SM Klassisk Styrkelyft,Yes
Carl Johansson,M,SBD,Raw,18,18-19,19-23,Juniors,77,83,,,,,225,,,,,150,,,,,265,640,4,451.62,447.92,432.31,92.05,Yes,Sweden,,SSF,IPF,2019-04-27,Sweden,,,U/J/V-SM Klassisk Styrkelyft,Yes
Carl Johansson,M,SBD,Single-ply,18,18-19,14-18,Juniors,77.35,83,,,,,210,,,,,145,,,,,235,590,1,415.17,411.68,397.25,71.09,Yes,Sweden,,SSF,IPF,2018-11-16,Sweden,,,DM KL SL VGSF,Yes
Carl Johansson,M,B,Raw,17,16-17,14-18,Sub-Juniors,76.75,83,,,,,,,,,,147.5,,,,,,147.5,1,104.29,103.46,99.86,77.16,Yes,Sweden,,SSF,IPF,2018-09-08,Sweden,,,DM i Klassisk Bänkpress Västra Götaland SDF,Yes
