Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Carlos Petterson-Grifith,M,SBD,Raw,29.5,24-34,24-39,Open,92.9,,310,332.5,-337.5,,332.5,172.5,182.5,-190,,182.5,340,360,-375,,360,875,7,557.01,549.95,526.38,114.53,Yes,Guyana,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Carlos Petterson-Grifith,M,SBD,Raw,28.5,24-34,24-39,Open,92.7,93,300,320,-332,,320,160,170,172.5,,172.5,330,355,-365,,355,847.5,6,540.06,533.21,510.40,111.05,Yes,Guyana,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Carlos Petterson-Grifith,M,SBD,Raw,28,24-34,24-39,Open,92.6,93,-305,305,-315,,305,147.5,160,-165,,160,325,-335,-335,,325,790,1,503.68,497.29,476.04,103.57,Yes,Guyana,,CommonwealthPF,IPF,2022-11-28,New Zealand,,Auckland,Commonwealth Championships,Yes
Carlos Petterson-Grifith,M,SBD,Single-ply,28,24-34,24-39,Open,92.2,93,310,-335,340,,340,160,-170,,,160,330,350,-372,,350,850,1,543.08,536.18,513.35,92.60,Yes,Guyana,,CommonwealthPF,IPF,2022-11-28,New Zealand,,Auckland,Commonwealth Championships,Yes
Carlos Petterson-Grifith,M,SBD,Raw,27,24-34,24-39,Open,92.33,93,290,315,-332.5,,315,160,-165,-165,,160,-330,330,-355,,330,,DQ,,,,,Yes,Guyana,,NAPF,IPF,2021-08-17,USA,FL,Orlando,Pan-American Championships,Yes
Carlos Petterson-Grifith,M,SBD,Single-ply,27,24-34,24-39,Open,92.98,93,310,335,,,335,160,,,,160,335,350,,,350,,DQ,,,,,Yes,Guyana,,NAPF,IPF,2021-08-17,USA,FL,Orlando,Pan-American Championships,Yes
Carlos Petterson-Grifith,M,SBD,Single-ply,24,24-34,24-39,Open,91.54,93,275,300,315,,315,140,155,-170,,155,300,330,-350,,330,800,1,512.93,506.40,484.99,87.48,Yes,Guyana,,NAPF,IPF,2018-08-01,Mexico,,Mexico City,North American Powerlifting Championships,Yes
Carlos Petterson-Grifith,M,SBD,Raw,24,24-34,24-39,Open,91.14,93,275,300,-325,,300,140,155,165,,165,300,325,-350,,325,790,1,507.62,501.16,480.05,104.38,Yes,Guyana,,NAPF,IPF,2018-08-01,Mexico,,Mexico City,North American Powerlifting Championships,Yes
Carlos Petterson-Grifith,M,SBD,Raw,22.5,20-23,19-23,Juniors,92.67,93,250,265,280,,280,140,150,-160,,150,300,317.5,330,,330,760,2,484.38,478.23,457.78,99.60,Yes,Guyana,,NAPF,IPF,2017-07-03,USA,FL,Orlando,Pan-American Powerlifting Championships,Yes
Carlos Petterson-Grifith,M,SBD,Raw,22.5,20-23,19-23,Open,92.67,93,250,265,280,,280,140,150,-160,,150,300,317.5,330,,330,760,3,484.38,478.23,457.78,99.60,Yes,Guyana,,NAPF,IPF,2017-07-03,USA,FL,Orlando,Pan-American Powerlifting Championships,Yes
