Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Carola Garra,F,SBD,Raw,29.5,24-34,24-39,Open,67.17,,205,215,220,,220,140,146.5,150,,150,202.5,212.5,-225,,212.5,582.5,3,603.08,596.61,526.34,122.54,Yes,Italy,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Carola Garra,F,B,Single-ply,29.5,24-34,24-39,Senior,67.6,69,,,,,,120,,,,120,,,,,,120,1,123.78,122.34,107.92,69.45,Yes,Italy,,FIPL,IPF,2024-01-21,Italy,,S.Zenone al Lambro,23° Gara Nazionale Open di Panca Attrezzata,Yes
Carola Garra,F,B,Raw,29.5,24-34,24-39,Senior,68,69,,,,,,135,,,,135,,,,,,135,1,138.78,137.06,120.89,108.36,Yes,Italy,,FIPL,IPF,2024-01-19,Italy,,S Zenone al Lambro,8° Gara Nazionale Open di Panca Classic,Yes
Carola Garra,F,SBD,Raw,28.5,24-34,24-39,Senior,66.14,69,190,202.5,210,,210,132.5,140,144,,144,190,200,,,200,554,1,578.76,573.82,506.36,117.61,Yes,Italy,,FIPL,IPF,2023-09-30,Italy,,S.Zenone al Lambro,Finali femminili senior classic,Yes
Carola Garra,F,SBD,Raw,28.5,24-34,24-39,Open,62.9,63,195,202.5,207.5,,207.5,135,142.5,-145.5,,142.5,192.5,200,207.5,,207.5,557.5,1,600.18,599.45,529.34,122.10,Yes,Italy,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Carola Garra,F,SBD,Raw,28.5,24-34,24-39,Senior,62.9,63,185,195,203,,203,130,140,144,,144,180,190,195,,195,542,1,583.49,582.79,514.62,118.70,Yes,Italy,,FIPL,IPF,2023-02-17,Italy,,S.Zenone al Lambro,6 gara nazionale classic senior F,Yes
Carola Garra,F,B,Single-ply,28.5,24-34,24-39,Senior,65.93,69,,,,,,125,157.5,165,,165,,,,,,165,1,172.70,171.30,151.17,96.87,Yes,Italy,,FIPL,IPF,2023-01-29,Italy,,San Zenone Al Lambro,22 Gara Nazionale Open Di Panca Attrezzata M/F,Yes
Carola Garra,F,B,Raw,28.5,24-34,24-39,Senior,65.76,69,,,,,,125,135,140,,140,,,,,,140,1,146.75,145.62,128.51,114.19,Yes,Italy,,FIPL,IPF,2023-01-23,Italy,,S.Zenone al Lambro,7 gara nazionale open di panca classic M F,Yes
Carola Garra,F,SBD,Raw,27.5,24-34,24-39,Open,62.65,63,-185,192.5,200,,200,132.5,140,143.5,,143.5,192.5,202.5,-212.5,,202.5,546,2,589.23,588.86,520.01,119.89,Yes,Italy,,IPF,IPF,2022-09-23,England,,Birmingham,Arnold Sports Festival,Yes
Carola Garra,F,SBD,Raw,27.5,24-34,24-39,Senior,64.24,69,175,185,190,,190,127.5,135,140,,140,175,185,192.5,,192.5,522.5,1,555.37,552.97,488.17,112.91,Yes,Italy,,FIPL,IPF,2022-08-07,Italy,,S.Zenone al Lambro,6 Gara Nazionale Open di Powerlifting Classic Femminile Finali,Yes
