Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Amanda Lawrence #1,F,SBD,Raw,26,Open,83.51,235.0,249.5,-253.0,249.5,122.5,130.0,135.0,135.0,242.5,262.5,-269.0,262.5,647.0,11,597.0,Yes,2024-02-10,Yes
Amanda Lawrence #1,F,SBD,Raw,26,Open,83.65,230.0,242.5,249.0,249.0,122.5,127.5,130.0,130.0,242.5,257.5,-267.5,257.5,636.5,1,586.84,Yes,2023-06-11,Yes
Amanda Lawrence #1,F,SBD,Raw,25,Open,83.4,230.0,244.0,246.5,246.5,120.0,125.0,130.0,130.0,242.5,261.0,268.5,268.5,645.0,4,595.53,Yes,2023-03-25,Yes
Amanda Lawrence #1,F,SBD,Raw,25,Open,83.3,225.0,235.0,242.5,242.5,120.0,-127.5,-127.5,120.0,237.5,252.5,-263.0,252.5,615.0,1,568.16,Yes,2022-06-06,Yes
Amanda Lawrence #1,F,SBD,Raw,24,FR-O,83.81,227.5,237.5,242.5,242.5,120.0,127.5,130.0,130.0,235.0,245.0,253.0,253.0,625.5,1,576.18,Yes,2022-04-01,Yes
Amanda Lawrence #1,F,SBD,Raw,24,Open,83.26,232.5,243.5,-250.0,243.5,122.5,130.0,132.5,132.5,240.0,258.0,260.5,260.5,636.5,1,588.15,Yes,2021-09-23,Yes
Amanda Lawrence #1,F,SBD,Raw,24,FR-O,83.46,235.0,240.0,-245.0,240.0,122.5,130.0,-132.5,130.0,240.0,255.0,,255.0,625.0,1,576.87,Yes,2021-06-14,Yes
Amanda Lawrence #1,F,SBD,Raw,23,FR-O,83.7,235.0,251.0,256.0,256.0,120.0,125.0,130.0,130.0,237.5,253.0,260.0,260.0,646.0,1,595.43,Yes,2020-11-21,Yes
Amanda Lawrence #1,F,SBD,Raw,22,FR-Jr,83.41,230.0,243.5,250.5,250.5,115.0,-122.5,-122.5,115.0,235.0,247.5,-253.0,247.5,613.0,1,565.95,Yes,2019-10-16,Yes
Amanda Lawrence #1,F,SBD,Raw,22,FR-O,83.41,230.0,243.5,250.5,250.5,115.0,-122.5,-122.5,115.0,235.0,247.5,-253.0,247.5,613.0,1,565.95,Yes,2019-10-16,Yes
Amanda Lawrence #1,F,SBD,Raw,22,Open,83.05,230.5,243.0,-248.0,243.0,105.0,112.5,117.5,117.5,231.0,245.5,252.5,252.5,613.0,1,567.13,Yes,2019-06-04,Yes
Amanda Lawrence #1,F,SBD,Raw,21,FR-O,83.6,240.0,-250.0,-250.0,240.0,100.0,105.0,110.0,110.0,-232.5,246.0,-252.5,246.0,596.0,1,549.66,Yes,2019-03-02,Yes
Amanda Lawrence #1,F,SBD,Raw,21,FR-Jr,83.2,226.0,238.5,-246.0,238.5,102.5,107.5,-110.0,107.5,220.0,235.5,245.0,245.0,591.0,2,546.3,Yes,2018-10-11,Yes
Amanda Lawrence #1,F,SBD,Raw,21,FR-O,83.2,226.0,238.5,-246.0,238.5,102.5,107.5,-110.0,107.5,220.0,235.5,245.0,245.0,591.0,2,546.3,Yes,2018-10-11,Yes
Amanda Lawrence #1,F,SBD,Raw,21,FR-Jr,83.3,215.0,225.0,-227.5,225.0,100.0,-105.0,-105.0,100.0,215.0,-227.5,227.5,227.5,552.5,1,510.42,Yes,2018-06-16,Yes
Amanda Lawrence #1,F,SBD,Raw,20,FR-O,82.12,210.0,-220.0,220.0,220.0,92.5,-97.5,-97.5,92.5,195.0,207.5,215.0,215.0,527.5,1,490.69,Yes,2018-03-02,Yes
Amanda Lawrence #1,F,SBD,Raw,20,FR-Jr,82.2,197.5,205.0,-210.0,205.0,92.5,95.0,97.5,97.5,187.5,195.0,200.0,200.0,502.5,1,467.21,Yes,2018-01-20,Yes
Amanda Lawrence #1,F,SBD,Raw,20,FR-O,81.78,192.5,202.5,207.0,207.0,85.0,-95.0,-95.0,85.0,182.5,192.5,-200.0,192.5,484.5,4,451.6,Yes,2017-10-10,Yes
Amanda Lawrence #1,F,SBD,Raw,20,FR-Jr,81.78,192.5,202.5,207.0,207.0,85.0,-95.0,-95.0,85.0,182.5,192.5,-200.0,192.5,484.5,2,451.6,Yes,2017-10-10,Yes
Amanda Lawrence #1,F,SBD,Raw,20,FR-Jr,87.98,192.5,200.0,-205.0,200.0,82.5,87.5,-92.5,87.5,185.0,195.0,-200.0,195.0,482.5,1,434.55,Yes,2017-06-10,Yes
Amanda Lawrence #1,F,SBD,Raw,19,FR-T3,85.2,-182.5,-182.5,182.5,182.5,75.0,-85.0,-85.0,75.0,182.5,192.5,-200.0,192.5,450.0,1,411.31,Yes,2017-02-18,Yes
Amanda Lawrence #1,F,SBD,Raw,19,FR-T3,83.9,170.0,-180.0,-180.0,170.0,70.0,75.0,-80.0,75.0,165.0,175.0,180.0,180.0,425.0,1,391.29,Yes,2016-08-20,Yes
Amanda Lawrence #1,F,SBD,Raw,19,FR-O,79.7,-167.5,167.5,-180.0,167.5,62.5,67.5,-72.5,67.5,147.5,157.5,162.5,162.5,397.5,1,375.25,Yes,2016-06-11,Yes
