Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Carl Johansson,M,SBD,Raw,23,Open,73.75,252.5,265.0,270.0,270.0,177.5,-185.0,185.0,185.0,310.0,330.5,-340.5,330.5,785.5,9,569.68,Yes,2024-02-10,Yes
Carl Johansson,M,SBD,Raw,22,Open,73.65,252.5,262.5,267.5,267.5,170.0,177.5,182.5,182.5,305.0,320.0,328.0,328.0,778.0,1,564.74,Yes,2023-06-11,Yes
Carl Johansson,M,SBD,Raw,22,Open,73.8,,,,261.0,,,,177.5,,,,316.0,754.5,1,546.96,Yes,2023-02-02,Yes
Carl Johansson,M,SBD,Raw,22,Juniors,73.49,235.0,247.5,252.5,252.5,160.0,167.5,170.0,170.0,270.0,280.0,308.5,308.5,731.0,1,531.38,Yes,2022-11-25,Yes
Carl Johansson,M,SBD,Raw,21,Juniors,73.55,232.5,245.0,250.0,250.0,157.5,162.5,167.5,167.5,282.5,295.0,300.0,300.0,717.5,1,521.29,Yes,2022-08-31,Yes
Carl Johansson,M,SBD,Raw,20,Juniors,73.16,230.0,242.5,-247.5,242.5,155.0,160.0,162.5,162.5,267.5,282.5,297.5,297.5,702.5,3,512.17,Yes,2021-09-23,Yes
Carl Johansson,M,SBD,Raw,19,Open,73.95,220.0,227.5,-235.0,227.5,152.5,160.0,165.0,165.0,260.0,280.0,-290.0,280.0,672.5,1,486.87,Yes,2020-09-05,Yes
Carl Johansson,M,SBD,Raw,19,Juniors,72.95,,,,230.0,,,,145.0,,,,270.0,645.0,1,471.14,Yes,2020-02-14,Yes
Carl Johansson,M,SBD,Raw,18,Open,72.8,,,,220.0,,,,150.0,,,,240.0,610.0,4,446.19,Yes,2019-06-27,Yes
Carl Johansson,M,SBD,Raw,18,Juniors,77.0,,,,225.0,,,,150.0,,,,265.0,640.0,4,451.62,Yes,2019-04-27,Yes
