Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Carola Garra,F,SBD,Raw,29.5,Open,67.17,205.0,215.0,220.0,220.0,140.0,146.5,150.0,150.0,202.5,212.5,-225.0,212.5,582.5,3,603.08,Yes,2024-02-10,Yes
Carola Garra,F,SBD,Raw,28.5,Senior,66.14,190.0,202.5,210.0,210.0,132.5,140.0,144.0,144.0,190.0,200.0,,200.0,554.0,1,578.76,Yes,2023-09-30,Yes
Carola Garra,F,SBD,Raw,28.5,Open,62.9,195.0,202.5,207.5,207.5,135.0,142.5,-145.5,142.5,192.5,200.0,207.5,207.5,557.5,1,600.18,Yes,2023-06-11,Yes
Carola Garra,F,SBD,Raw,28.5,Senior,62.9,185.0,195.0,203.0,203.0,130.0,140.0,144.0,144.0,180.0,190.0,195.0,195.0,542.0,1,583.49,Yes,2023-02-17,Yes
Carola Garra,F,SBD,Raw,27.5,Open,62.65,-185.0,192.5,200.0,200.0,132.5,140.0,143.5,143.5,192.5,202.5,-212.5,202.5,546.0,2,589.23,Yes,2022-09-23,Yes
Carola Garra,F,SBD,Raw,27.5,Senior,64.24,175.0,185.0,190.0,190.0,127.5,135.0,140.0,140.0,175.0,185.0,192.5,192.5,522.5,1,555.37,Yes,2022-08-07,Yes
Carola Garra,F,SBD,Raw,27.5,Senior,63.45,175.0,185.0,195.0,195.0,135.0,140.0,143.5,143.5,180.0,190.0,200.0,200.0,538.5,1,576.67,Yes,2022-03-04,Yes
Carola Garra,F,SBD,Raw,26.5,Senior,64.05,180.0,190.0,200.0,200.0,125.0,132.5,138.0,138.0,180.0,195.0,205.0,205.0,543.0,1,578.19,Yes,2021-08-01,Yes
Carola Garra,F,SBD,Raw,25.5,Senior,62.66,185.0,195.0,-200.0,195.0,127.5,137.5,-140.0,137.5,187.5,197.5,-210.0,197.5,530.0,1,571.91,Yes,2020-10-10,Yes
Carola Garra,F,SBD,Raw,24.5,Open,62.67,167.5,177.5,182.5,182.5,120.0,130.0,135.0,135.0,175.0,187.5,195.0,195.0,512.5,1,552.97,Yes,2019-10-05,Yes
Carola Garra,F,SBD,Raw,24.5,Open,63.0,160.0,-170.0,175.0,175.0,115.0,125.0,130.0,130.0,160.0,175.0,-191.0,175.0,480.0,1,516.25,Yes,2019-06-13,Yes
Carola Garra,F,SBD,Raw,24.5,Open,62.6,170.0,180.0,185.5,185.5,125.0,130.0,-135.0,130.0,177.5,187.5,-192.5,187.5,503.0,1,543.09,Yes,2019-06-04,Yes
Carola Garra,F,SBD,Raw,24.5,Seniores,64.1,167.5,175.0,182.5,182.5,125.0,130.0,137.5,137.5,167.5,177.5,187.5,187.5,507.5,1,540.14,Yes,2019-03-29,Yes
Carola Garra,F,SBD,Raw,23.5,Open,62.45,160.0,170.0,,170.0,115.0,122.5,130.0,130.0,160.0,175.0,182.5,182.5,482.5,1,521.72,Yes,2018-10-11,Yes
Carola Garra,F,SBD,Raw,23.5,Open,62.22,160.0,167.5,175.0,175.0,122.5,130.0,-133.5,130.0,160.0,170.0,180.0,180.0,485.0,1,525.62,Yes,2018-06-15,Yes
Carola Garra,F,SBD,Raw,23.5,Open,62.65,152.5,160.0,165.0,165.0,125.0,130.0,-135.5,130.0,155.0,165.0,172.5,172.5,467.5,1,504.52,Yes,2018-01-28,Yes
Carola Garra,F,SBD,Raw,22.5,Open,62.53,150.0,157.5,165.0,165.0,122.5,128.5,133.0,133.0,155.0,165.0,-175.0,165.0,463.0,1,500.25,Yes,2017-09-14,Yes
Carola Garra,F,SBD,Raw,22.5,Junior,62.23,110.0,120.0,130.0,130.0,117.5,122.5,130.5,130.5,130.0,142.5,155.0,155.0,415.5,1,450.25,Yes,2017-06-09,Yes
Carola Garra,F,SBD,Raw,22.5,Juniors,62.7,161.0,-170.0,-170.0,161.0,120.0,125.0,-127.5,125.0,160.0,-170.0,-170.0,160.0,446.0,1,481.08,Yes,2017-03-12,Yes
Carola Garra,F,SBD,Raw,21.5,Junior,61.45,130.0,140.0,145.0,145.0,120.0,130.0,-132.5,130.0,145.0,160.5,167.5,167.5,442.5,1,483.26,Yes,2016-06-14,Yes
Carola Garra,F,SBD,Raw,21.5,Juniors,61.15,120.0,130.0,137.5,137.5,120.5,128.0,-130.5,128.0,140.0,155.0,160.0,160.0,425.5,1,466.11,Yes,2016-03-05,Yes
Carola Garra,F,SBD,Raw,20.5,Junior,60.63,95.0,105.0,-110.0,105.0,115.0,120.0,-125.0,120.0,120.0,127.0,132.0,132.0,357.0,1,393.16,Yes,2015-06-19,Yes
