Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Evie Corrigan,F,SBD,Raw,27,Open,51.85,160.0,165.0,167.5,167.5,97.5,102.5,105.0,105.0,197.5,208.5,-216.0,208.5,481.0,4,587.47,Yes,2024-02-10,Yes
Evie Corrigan,F,SBD,Raw,27,Open,55.25,160.0,165.0,170.0,170.0,97.5,102.5,104.0,104.0,192.5,202.5,210.0,210.0,484.0,1,566.07,Yes,2023-09-06,Yes
Evie Corrigan,F,SBD,Raw,27,Open,51.9,155.0,160.0,162.5,162.5,95.0,97.5,100.0,100.0,190.0,197.5,-203.0,197.5,460.0,1,561.45,Yes,2023-06-11,Yes
Evie Corrigan,F,SBD,Raw,26,Open,51.8,150.0,155.0,160.0,160.0,92.5,95.0,97.5,97.5,185.0,195.0,202.5,202.5,460.0,1,562.2,Yes,2023-03-25,Yes
Evie Corrigan,F,SBD,Raw,26,Open,55.9,155.0,160.0,165.0,165.0,90.0,95.0,97.5,97.5,187.5,197.5,205.5,205.5,468.0,1,543.11,Yes,2022-11-28,Yes
Evie Corrigan,F,SBD,Raw,26,Open,56.7,160.0,167.5,171.0,171.0,92.5,97.5,100.0,100.0,185.0,195.0,205.0,205.0,476.0,1,547.24,Yes,2022-08-01,Yes
Evie Corrigan,F,SBD,Raw,26,Open,56.65,160.0,-167.5,167.5,167.5,95.0,100.0,102.5,102.5,187.5,-197.5,200.0,200.0,470.0,4,540.66,Yes,2022-06-06,Yes
Evie Corrigan,F,SBD,Raw,25,Open,56.9,157.5,165.0,170.0,170.0,85.0,90.0,95.0,95.0,185.0,195.0,201.0,201.0,466.0,1,534.51,Yes,2021-06-11,Yes
Evie Corrigan,F,SBD,Raw,24,Open,55.95,160.0,168.0,-171.0,168.0,90.0,94.0,96.5,96.5,185.0,193.0,200.0,200.0,464.5,1,538.73,Yes,2020-10-06,Yes
Evie Corrigan,F,SBD,Raw,24,Open,63.0,140.0,147.5,155.0,155.0,75.0,80.0,85.0,85.0,167.5,175.0,185.0,185.0,425.0,1,457.09,Yes,2020-07-11,Yes
Evie Corrigan,F,SBD,Raw,23,Open,56.6,150.0,156.0,160.5,160.5,77.5,82.5,85.0,85.0,170.0,177.5,185.0,185.0,430.5,1,495.5,Yes,2019-11-23,Yes
Evie Corrigan,F,SBD,Raw,23,Juniors,56.3,152.5,-160.0,-160.0,152.5,85.0,90.0,-92.5,90.0,170.0,178.0,-185.5,178.0,420.5,2,485.69,Yes,2019-06-04,Yes
Evie Corrigan,F,SBD,Raw,22,Juniors,56.6,142.5,152.5,-160.0,152.5,85.0,90.0,-92.0,90.0,165.0,177.5,-182.5,177.5,420.0,1,483.42,Yes,2019-04-06,Yes
Evie Corrigan,F,SBD,Raw,22,Open,54.7,138.0,145.5,148.0,148.0,85.0,90.0,91.5,91.5,162.5,172.5,178.0,178.0,417.5,1,491.58,Yes,2018-10-28,Yes
Evie Corrigan,F,SBD,Raw,22,Open,51.62,132.5,140.0,143.5,143.5,80.0,85.5,86.5,86.5,155.0,165.0,-170.0,165.0,395.0,1,483.93,Yes,2018-08-23,Yes
Evie Corrigan,F,SBD,Raw,22,Juniors,51.8,-130.0,130.0,140.5,140.5,77.5,82.5,85.0,85.0,145.0,157.5,160.0,160.0,385.5,1,471.15,Yes,2018-06-06,Yes
Evie Corrigan,F,SBD,Raw,21,Juniors,52.0,117.5,125.0,132.5,132.5,75.0,80.0,81.0,81.0,140.0,147.5,155.0,155.0,368.5,1,449.17,Yes,2018-04-08,Yes
Evie Corrigan,F,SBD,Raw,21,Juniors,51.9,102.5,110.0,115.0,115.0,67.5,72.5,75.5,75.5,125.0,135.0,140.0,140.0,330.5,1,403.39,Yes,2017-11-05,Yes
Evie Corrigan,F,SBD,Raw,21,Juniors,52.0,,,,107.5,,,,70.0,,,,130.0,307.5,1,374.81,Yes,2017-10-29,Yes
Evie Corrigan,F,SBD,Raw,21,Juniors,50.2,90.0,97.5,102.5,102.5,-60.0,62.5,-65.0,62.5,110.0,120.0,-125.0,120.0,285.0,1,356.09,Yes,2017-06-10,Yes
Evie Corrigan,F,SBD,Raw,20,Open,50.55,80.0,87.5,92.5,92.5,60.0,62.5,-65.0,62.5,90.0,100.0,,100.0,255.0,3,317.05,Yes,2017-04-08,Yes
Evie Corrigan,F,SBD,Raw,19,Juniors,51.35,70.0,75.0,82.5,82.5,55.0,-60.0,60.0,60.0,100.0,110.0,120.0,120.0,262.5,1,322.78,Yes,2016-02-27,Yes
