Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Gavin Adin,M,SBD,Raw,25.0,Open,92.92,305.0,331.5,337.0,337.0,192.5,205.0,-212.5,205.0,295.0,320.0,345.0,345.0,887.0,4,564.59,Yes,2024-02-10,Yes
Gavin Adin,M,SBD,Raw,24.5,Open,92.45,-302.5,310.0,-325.0,310.0,197.5,210.0,220.0,220.0,310.0,330.0,-342.5,330.0,860.0,5,548.75,Yes,2023-06-11,Yes
Gavin Adin,M,SBD,Raw,24.5,Open,92.9,305.0,325.0,-336.5,325.0,200.0,210.0,215.0,215.0,300.0,325.0,340.0,340.0,880.0,3,560.19,Yes,2023-03-25,Yes
Gavin Adin,M,SBD,Raw,23.5,Open,92.4,305.0,320.0,-331.5,320.0,200.0,210.0,-215.0,210.0,305.0,-320.0,335.0,335.0,865.0,4,552.08,Yes,2022-06-06,Yes
Gavin Adin,M,SBD,Raw,23.0,Open,93.2,-272.5,290.0,320.0,320.0,190.0,205.0,215.0,215.0,272.5,300.0,320.0,320.0,855.0,1,543.43,Yes,2022-02-26,Yes
Gavin Adin,M,SBD,Raw,22.5,Juniors,92.51,-310.0,310.0,-320.0,310.0,205.0,215.0,-217.5,215.0,302.5,310.0,317.5,317.5,842.5,1,537.41,Yes,2021-09-23,Yes
Gavin Adin,M,SBD,Raw,22.5,MR-O,92.55,310.0,320.0,327.5,327.5,212.5,220.0,-222.5,220.0,310.0,322.5,332.5,332.5,880.0,2,561.21,Yes,2021-06-14,Yes
Gavin Adin,M,SBD,Raw,21.5,MR-O,92.75,280.0,297.5,305.0,305.0,200.0,208.0,210.0,210.0,285.0,302.5,315.0,315.0,830.0,1,528.77,Yes,2020-08-08,Yes
Gavin Adin,M,SBD,Raw,21.5,MR-Jr,92.75,280.0,297.5,305.0,305.0,200.0,208.0,210.0,210.0,285.0,302.5,315.0,315.0,830.0,1,528.77,Yes,2020-08-08,Yes
Gavin Adin,M,SBD,Raw,20.5,MR-Jr,91.46,260.0,-272.5,277.5,277.5,177.5,187.5,195.0,195.0,272.5,285.0,290.0,290.0,762.5,6,489.1,Yes,2019-10-16,Yes
Gavin Adin,M,SBD,Raw,20.5,MR-Jr,89.7,245.0,260.0,-270.0,260.0,167.5,177.5,182.5,182.5,272.5,285.0,-287.5,285.0,727.5,1,471.2,Yes,2019-06-01,Yes
