Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Natalie Richards #1,F,SBD,Raw,25.5,Open,56.36,172.5,180.0,186.5,186.5,100.0,107.5,110.0,110.0,205.0,220.0,-230.0,220.0,516.5,9,596.16,Yes,2024-02-10,Yes
Delaney Wallace,M,SBD,Raw,29.0,Open,82.75,282.5,297.5,305.0,305.0,192.5,202.5,207.5,207.5,310.0,330.0,-335.0,330.0,842.5,3,569.73,Yes,2024-02-10,Yes
Jesus Olivares,M,SBD,Raw,25.0,Open,186.7,425.0,455.0,478.0,478.0,255.0,-275.0,-275.0,255.0,-380.0,380.0,-429.0,380.0,1113.0,11,565.69,Yes,2024-02-10,Yes
Gavin Adin,M,SBD,Raw,25.0,Open,92.92,305.0,331.5,337.0,337.0,192.5,205.0,-212.5,205.0,295.0,320.0,345.0,345.0,887.0,4,564.59,Yes,2024-02-10,Yes
Amanda Lawrence #1,F,SBD,Raw,26.0,Open,83.51,235.0,249.5,-253.0,249.5,122.5,130.0,135.0,135.0,242.5,262.5,-269.0,262.5,647.0,11,597.0,Yes,2024-02-10,Yes
Kyota Ushiyama,M,SBD,Raw,26.5,Open,65.81,-215.0,215.0,240.0,240.0,162.5,170.0,-172.5,170.0,280.0,-295.0,-302.5,280.0,690.0,10,541.79,Yes,2024-02-10,Yes
Carl Johansson,M,SBD,Raw,23.0,Open,73.75,252.5,265.0,270.0,270.0,177.5,-185.0,185.0,185.0,310.0,330.5,-340.5,330.5,785.5,9,569.68,Yes,2024-02-10,Yes
Jade Jacob,F,SBD,Raw,22.5,Open,56.57,177.5,186.0,188.0,188.0,95.0,100.0,-102.5,100.0,215.0,227.5,231.5,231.5,519.5,8,598.15,Yes,2024-02-10,Yes
Tiffany Chapon,F,SBD,Raw,22.5,Open,46.77,155.0,161.5,-162.5,161.5,95.0,100.0,-101.0,100.0,160.0,167.5,170.0,170.0,431.5,10,567.57,Yes,2024-02-10,Yes
Sonita Muluh,F,SBD,Raw,27.0,Open,126.63,270.0,290.5,300.5,300.5,140.0,147.5,-152.5,147.5,-245.0,250.0,260.0,260.0,708.0,6,560.13,Yes,2024-02-10,Yes
Agata Sitko,F,SBD,Raw,21.5,Open,68.9,185.0,192.5,197.5,197.5,146.0,152.0,154.0,154.0,235.0,242.0,248.5,248.5,600.0,1,612.2,Yes,2024-02-10,Yes
Prescillia Bavoil,F,SBD,Raw,30.0,Open,66.46,207.5,218.0,225.0,225.0,110.0,117.5,122.5,122.5,225.0,235.0,237.5,237.5,585.0,2,609.42,Yes,2024-02-10,Yes
Panagiotis Tarinidis,M,SBD,Raw,29.0,Open,65.79,240.0,-252.5,-252.5,240.0,160.0,170.0,172.5,172.5,270.0,290.0,-297.5,290.0,702.5,5,551.73,Yes,2024-02-10,Yes
Gustav Hedlund,M,SBD,Raw,28.5,Open,92.7,300.0,315.0,325.0,325.0,197.5,-210.0,215.0,215.0,327.5,342.5,355.0,355.0,895.0,1,570.33,Yes,2024-02-10,Yes
Carola Garra,F,SBD,Raw,29.5,Open,67.17,205.0,215.0,220.0,220.0,140.0,146.5,150.0,150.0,202.5,212.5,-225.0,212.5,582.5,3,603.08,Yes,2024-02-10,Yes
Anatolii Novopismennyi,M,SBD,Raw,,Open,104.58,340.0,355.0,363.0,363.0,217.5,227.5,-230.0,227.5,325.0,335.0,-350.0,335.0,925.5,8,559.07,Yes,2024-02-10,Yes
Brittany Schlater,F,SBD,Raw,32.5,Open,126.56,262.5,277.5,285.0,285.0,147.5,152.5,157.5,157.5,-247.5,255.0,267.5,267.5,710.0,5,561.79,Yes,2024-02-10,Yes
Karlina Tongotea,F,SBD,Raw,,Open,75.6,217.5,226.0,230.5,230.5,120.0,125.0,127.5,127.5,242.5,-252.5,252.5,252.5,610.5,7,592.12,Yes,2024-02-10,Yes
Evie Corrigan,F,SBD,Raw,27.0,Open,51.85,160.0,165.0,167.5,167.5,97.5,102.5,105.0,105.0,197.5,208.5,-216.0,208.5,481.0,4,587.47,Yes,2024-02-10,Yes
Carlos Petterson-Grifith,M,SBD,Raw,29.5,Open,92.9,310.0,332.5,-337.5,332.5,172.5,182.5,-190.0,182.5,340.0,360.0,-375.0,360.0,875.0,7,557.01,Yes,2024-02-10,Yes
Tony Cliffe,M,SBD,Raw,39.5,Open,119.61,330.0,350.0,355.0,355.0,240.0,-253.5,-253.5,240.0,330.0,-360.0,-385.0,330.0,925.0,12,531.81,Yes,2024-02-10,Yes
Timothy Monigatti,M,SBD,Raw,27.0,Open,73.71,270.0,284.0,288.5,288.5,165.0,170.0,-175.0,170.0,315.0,331.0,-348.5,331.0,789.5,6,572.79,Yes,2024-02-10,Yes
Jonathan Cayco,M,SBD,Raw,31.0,Open,92.65,285.0,-297.5,300.0,300.0,235.0,243.5,245.5,245.5,320.0,340.0,347.5,347.5,893.0,2,569.21,Yes,2024-02-10,Yes
Noémie Allabert,F,SBD,Raw,33.0,Open,51.87,157.5,165.0,-170.0,165.0,80.0,-85.0,85.0,85.0,187.5,197.5,-205.0,197.5,447.5,12,546.41,Yes,2024-02-10,Yes
