Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Jesus Olivares,M,SBD,Raw,25.0,Open,186.7,425.0,455.0,478.0,478.0,255.0,-275.0,-275.0,255.0,-380.0,380.0,-429.0,380.0,1113.0,11,565.69,Yes,2024-02-10,Yes
Jesus Olivares,M,SBD,Raw,24.5,Open,181.1,425.0,455.0,,455.0,-250.0,250.0,-267.5,250.0,350.0,375.0,-410.5,375.0,1080.0,1,553.06,Yes,2023-06-11,Yes
Jesus Olivares,M,SBD,Raw,24.0,Open,178.2,425.0,455.0,470.0,470.0,250.0,265.0,272.5,272.5,370.0,399.0,410.0,410.0,1152.5,1,592.59,Yes,2023-03-25,Yes
Jesus Olivares,M,SBD,Raw,23.5,Open,174.7,410.0,-430.0,-440.0,410.0,235.0,250.0,260.0,260.0,352.5,-380.0,-380.0,352.5,1022.5,1,528.4,Yes,2022-06-06,Yes
Jesus Olivares,M,SBD,Raw,23.0,MR-O,173.4,410.0,435.0,450.0,450.0,240.0,250.0,257.5,257.5,355.0,385.0,402.5,402.5,1110.0,1,574.71,Yes,2022-04-01,Yes
Jesus Olivares,M,SBD,Raw,22.5,Open,167.02,387.5,412.5,427.5,427.5,232.5,245.0,252.5,252.5,342.5,365.0,-377.5,365.0,1045.0,1,546.3,Yes,2021-09-23,Yes
Jesus Olivares,M,SBD,Raw,22.5,MR-O,167.76,395.0,417.5,425.0,425.0,235.0,242.5,250.0,250.0,345.0,-370.0,-382.5,345.0,1020.0,1,532.62,Yes,2021-06-14,Yes
Jesus Olivares,M,SBD,Raw,21.5,MR-Jr,157.8,375.0,395.0,410.0,410.0,222.5,232.5,245.5,245.5,357.5,382.5,400.0,400.0,1055.5,1,560.02,Yes,2020-12-12,Yes
Jesus Olivares,M,SBD,Raw,21.5,MR-O,157.8,375.0,395.0,410.0,410.0,222.5,232.5,245.5,245.5,357.5,382.5,400.0,400.0,1055.5,1,560.02,Yes,2020-12-12,Yes
Jesus Olivares,M,SBD,Raw,21.5,MR-O,157.65,347.5,365.0,385.0,385.0,215.0,227.5,235.0,235.0,347.5,365.0,-380.0,365.0,985.0,1,522.75,Yes,2020-06-27,Yes
Jesus Olivares,M,SBD,Raw,21.5,MR-Jr,157.65,347.5,365.0,385.0,385.0,215.0,227.5,235.0,235.0,347.5,365.0,-380.0,365.0,985.0,1,522.75,Yes,2020-06-27,Yes
Jesus Olivares,M,SBD,Raw,20.5,MR-Jr,153.7,310.0,325.0,340.0,340.0,200.0,207.5,215.0,215.0,327.5,347.5,-362.5,347.5,902.5,1,482.18,Yes,2019-12-21,Yes
