Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Jonathan Cayco,M,SBD,Raw,31.0,Open,92.65,285.0,-297.5,300.0,300.0,235.0,243.5,245.5,245.5,320.0,340.0,347.5,347.5,893.0,2,569.21,Yes,2024-02-10,Yes
Jonathan Cayco,M,SBD,Raw,30.5,Open,92.9,282.5,295.0,300.0,300.0,230.0,237.5,243.0,243.0,320.0,337.5,345.0,345.0,888.0,1,565.28,Yes,2023-06-11,Yes
Jonathan Cayco,M,SBD,Raw,30.0,Open,92.5,282.5,300.0,-302.5,300.0,230.0,239.0,241.5,241.5,320.0,337.5,342.5,342.5,884.0,2,563.91,Yes,2023-03-25,Yes
Jonathan Cayco,M,SBD,Raw,29.5,Open,92.55,275.0,290.0,300.0,300.0,222.5,232.5,238.5,238.5,317.5,335.0,-350.0,335.0,873.5,3,557.07,Yes,2022-06-06,Yes
Jonathan Cayco,M,SBD,Raw,29.0,MR-O,92.8,282.5,295.0,300.0,300.0,227.5,235.5,240.5,240.5,327.5,342.5,347.5,347.5,888.0,1,565.58,Yes,2022-04-01,Yes
Jonathan Cayco,M,SBD,Raw,28.5,Open,92.14,272.5,287.5,292.5,292.5,222.5,233.0,238.0,238.0,317.5,335.0,342.5,342.5,873.0,1,557.95,Yes,2021-09-23,Yes
Jonathan Cayco,M,SBD,Raw,28.5,MR-O,91.88,285.0,295.0,302.5,302.5,222.5,231.5,238.0,238.0,317.5,332.5,340.0,340.0,880.5,1,563.52,Yes,2021-06-14,Yes
Jonathan Cayco,M,SBD,Raw,28.0,MR-O,92.7,282.5,300.0,305.0,305.0,227.5,237.5,242.5,242.5,315.0,335.0,345.0,345.0,892.5,1,568.74,Yes,2021-02-27,Yes
Jonathan Cayco,M,SBD,Raw,26.5,MR-O,92.1,280.0,295.0,302.5,302.5,215.0,225.0,231.0,231.0,312.5,327.5,335.0,335.0,868.5,1,555.19,Yes,2019-10-16,Yes
Jonathan Cayco,M,SBD,Raw,26.5,MR-O,92.6,277.5,295.0,300.0,300.0,217.5,230.5,-235.5,230.5,312.5,332.5,-340.0,332.5,863.0,1,550.23,Yes,2019-06-29,Yes
Jonathan Cayco,M,SBD,Raw,25.5,MR-O,92.3,265.0,272.5,277.5,277.5,200.0,210.0,215.0,215.0,302.5,315.0,325.0,325.0,817.5,4,522.04,Yes,2018-10-11,Yes
Jonathan Cayco,M,SBD,Raw,25.0,MR-O,91.55,-257.5,-257.5,257.5,257.5,190.0,-195.0,200.0,200.0,287.5,302.5,317.5,317.5,775.0,3,496.88,Yes,2018-03-03,Yes
Jonathan Cayco,M,SBD,Raw,24.5,MR-O,92.74,252.5,257.5,265.0,265.0,195.0,205.0,210.0,210.0,287.5,297.5,312.5,312.5,787.5,4,501.72,Yes,2017-10-10,Yes
Jonathan Cayco,M,SBD,Raw,24.5,MR-O,90.7,245.0,-262.5,262.5,262.5,182.5,190.0,195.0,195.0,290.0,305.0,310.0,310.0,767.5,1,494.34,Yes,2017-06-10,Yes
Jonathan Cayco,M,SBD,Raw,23.5,MR-O,89.8,237.5,252.5,262.5,262.5,180.0,187.5,190.0,190.0,287.5,300.0,-310.0,300.0,752.5,1,487.11,Yes,2016-10-29,Yes
Jonathan Cayco,M,SBD,Raw,23.5,MR-O,89.8,225.0,242.5,245.0,245.0,162.5,175.0,-182.5,175.0,265.0,287.0,295.0,295.0,715.0,2,462.84,Yes,2016-05-14,Yes
