Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Sonita Muluh,F,SBD,Raw,27,Open,127.31,235.0,255.0,275.0,275.0,130.0,140.0,-145.0,140.0,235.0,252.5,-261.0,252.5,667.5,1,527.41,Yes,2024-03-12,Yes
Sonita Muluh,F,SBD,Raw,27,Open,126.63,270.0,290.5,300.5,300.5,140.0,147.5,-152.5,147.5,-245.0,250.0,260.0,260.0,708.0,6,560.13,Yes,2024-02-10,Yes
Sonita Muluh,F,SBD,Raw,27,Open,126.02,240.0,260.0,275.0,275.0,125.0,135.0,142.5,142.5,237.5,257.5,,257.5,675.0,1,534.65,Yes,2023-12-04,Yes
Sonita Muluh,F,SBD,Raw,26,Open,123.05,260.0,277.5,285.5,285.5,135.0,-142.5,142.5,142.5,245.0,260.5,-267.5,260.5,688.5,2,548.66,Yes,2023-06-11,Yes
Sonita Muluh,F,SBD,Raw,26,Open,120.1,230.0,250.0,-270.5,250.0,132.5,140.0,,140.0,240.0,260.0,-270.5,260.0,650.0,1,521.42,Yes,2023-04-08,Yes
Sonita Muluh,F,SBD,Raw,26,Open,118.11,240.0,257.5,270.0,270.0,125.0,132.5,137.5,137.5,235.0,-253.5,253.5,253.5,661.0,1,532.79,Yes,2022-11-25,Yes
Sonita Muluh,F,SBD,Raw,25,Open,109.0,227.5,242.5,253.0,253.0,115.0,122.5,127.5,127.5,235.0,250.5,-258.0,250.5,631.0,1,521.75,Yes,2022-09-09,Yes
Sonita Muluh,F,SBD,Raw,25,Open,108.0,,,,235.0,,,,120.0,,,,250.5,605.5,1,502.26,Yes,2022-08-20,Yes
Sonita Muluh,F,SBD,Raw,25,Open,105.65,212.5,225.0,232.5,232.5,110.0,115.0,-117.5,115.0,240.0,-252.5,-252.5,240.0,587.5,6,491.13,Yes,2022-06-06,Yes
Sonita Muluh,F,SBD,Raw,25,Open,100.4,200.0,207.5,,207.5,105.0,-110.5,,105.0,230.0,240.0,-250.5,240.0,552.5,1,470.74,Yes,2022-04-02,Yes
Sonita Muluh,F,SBD,Raw,25,Open,97.6,175.0,,,175.0,90.0,,,90.0,210.0,,,210.0,475.0,1,409.25,Yes,2022-02-27,Yes
Sonita Muluh,F,SBD,Raw,24,Open,83.8,190.0,-195.0,195.0,195.0,90.0,-95.0,95.0,95.0,230.0,-240.0,-240.0,230.0,520.0,5,479.02,Yes,2021-09-23,Yes
Sonita Muluh,F,SBD,Raw,24,Open,88.98,185.0,195.0,200.0,200.0,92.5,-97.5,100.0,100.0,222.5,235.0,240.0,240.0,540.0,1,483.87,Yes,2021-09-03,Yes
Sonita Muluh,F,SBD,Raw,24,Prime Time,88.28,175.0,185.0,195.0,195.0,90.0,97.5,-102.5,97.5,225.0,237.5,250.0,250.0,542.5,3,487.83,Yes,2021-07-03,Yes
Sonita Muluh,F,SBD,Raw,23,Open,84.45,170.0,175.0,,175.0,-90.0,-90.0,90.0,90.0,210.0,222.5,230.0,230.0,495.0,1,454.33,Yes,2020-09-26,Yes
Sonita Muluh,F,SBD,Raw,23,Open,83.15,135.0,145.0,150.0,150.0,67.5,70.0,72.5,72.5,165.0,175.0,180.0,180.0,402.5,1,372.16,Yes,2020-02-08,Yes
