Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Tiffany Chapon,F,SBD,Raw,22.5,Open,46.77,155.0,161.5,-162.5,161.5,95.0,100.0,-101.0,100.0,160.0,167.5,170.0,170.0,431.5,10,567.57,Yes,2024-02-10,Yes
Tiffany Chapon,F,SBD,Raw,22.0,Prime Time,48.1,140.0,150.0,155.0,155.0,90.0,95.0,100.0,100.0,140.0,150.0,155.0,155.0,410.0,1,528.28,Yes,2023-12-16,Yes
Tiffany Chapon,F,SBD,Raw,22.0,Prime Time,47.27,150.0,155.0,-160.0,155.0,92.5,-97.5,-97.5,92.5,155.0,160.0,165.0,165.0,412.5,1,538.33,Yes,2023-07-01,Yes
Tiffany Chapon,F,SBD,Raw,21.5,Open,46.9,150.0,157.5,-160.0,157.5,95.0,99.5,-100.5,99.5,160.0,167.5,-172.5,167.5,424.5,1,557.21,Yes,2023-06-11,Yes
Tiffany Chapon,F,SBD,Raw,21.5,Open,46.7,152.5,-161.0,161.0,161.0,95.0,-99.5,-99.5,95.0,165.0,172.5,-177.5,172.5,428.5,7,564.25,Yes,2023-03-25,Yes
Tiffany Chapon,F,SBD,Raw,21.0,Open,46.95,140.0,150.0,-155.0,150.0,90.0,95.0,-97.5,95.0,162.5,-171.0,-171.0,162.5,407.5,1,534.48,Yes,2022-11-25,Yes
Tiffany Chapon,F,SBD,Raw,21.0,Open,47.05,152.5,-160.0,160.0,160.0,92.5,-97.5,-97.5,92.5,165.0,172.5,-175.0,172.5,425.0,3,556.55,Yes,2022-09-23,Yes
Tiffany Chapon,F,SBD,Raw,21.0,Prime Time,48.86,145.0,155.0,-162.5,155.0,90.0,-95.0,-95.0,90.0,165.0,-172.5,-172.5,165.0,410.0,1,522.3,Yes,2022-07-02,Yes
Tiffany Chapon,F,SBD,Raw,20.5,Open,46.9,152.5,160.5,-163.0,160.5,90.0,96.0,,96.0,160.0,167.5,170.0,170.0,426.5,1,559.84,Yes,2022-06-06,Yes
Tiffany Chapon,F,SBD,Raw,20.5,Juniors,49.29,150.0,160.0,165.5,165.5,90.0,95.0,-100.0,95.0,160.0,170.0,-176.0,170.0,430.5,1,544.97,Yes,2022-05-14,Yes
Tiffany Chapon,F,SBD,Raw,20.5,Open,46.9,147.5,155.0,-160.0,155.0,87.5,93.0,-96.0,93.0,155.0,165.0,170.0,170.0,418.0,1,548.68,Yes,2022-03-19,Yes
Tiffany Chapon,F,SBD,Raw,20.0,Open,46.3,147.5,153.0,-154.0,153.0,82.5,87.5,-90.0,87.5,155.0,162.5,-167.5,162.5,403.0,1,534.07,Yes,2021-12-03,Yes
Tiffany Chapon,F,SBD,Raw,20.0,Open,46.38,142.5,147.5,-150.0,147.5,82.5,87.5,90.0,90.0,150.0,160.0,165.0,165.0,402.5,2,532.73,Yes,2021-10-30,Yes
Tiffany Chapon,F,SBD,Raw,20.0,Open,46.5,142.5,150.0,-153.0,150.0,-82.5,-82.5,82.5,82.5,150.0,160.0,165.0,165.0,397.5,1,525.1,Yes,2021-09-23,Yes
Tiffany Chapon,F,SBD,Raw,20.0,Open,44.28,127.5,132.5,-138.0,132.5,75.0,80.0,82.5,82.5,145.0,-155.0,155.0,155.0,370.0,1,507.15,Yes,2021-07-16,Yes
Tiffany Chapon,F,SBD,Raw,20.0,Prime Time,45.02,127.5,132.5,-140.0,132.5,77.5,82.5,85.0,85.0,145.0,155.0,160.0,160.0,377.5,2,510.94,Yes,2021-07-03,Yes
Tiffany Chapon,F,SBD,Raw,19.5,Juniors,42.94,122.5,-130.0,-130.0,122.5,67.5,70.0,-72.5,70.0,137.5,142.5,146.5,146.5,339.0,1,475.81,Yes,2021-02-13,Yes
Tiffany Chapon,F,SBD,Raw,19.0,Open,40.83,95.0,100.0,102.5,102.5,52.5,57.5,60.0,60.0,112.5,117.5,-129.0,117.5,280.0,1,408.93,Yes,2020-09-12,Yes
