Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned
Timothy Monigatti,M,SBD,Raw,27,Open,73.71,270.0,284.0,288.5,288.5,165.0,170.0,-175.0,170.0,315.0,331.0,-348.5,331.0,789.5,6,572.79,Yes,2024-02-10,Yes
Timothy Monigatti,M,SBD,Raw,26,Open,73.5,262.5,275.0,-280.0,275.0,160.0,-165.0,165.0,165.0,300.0,-312.5,312.5,312.5,752.5,1,546.96,Yes,2023-09-06,Yes
Timothy Monigatti,M,SBD,Raw,26,Open,77.59,262.5,275.0,285.0,285.0,155.0,160.0,165.0,165.0,300.0,315.0,320.0,320.0,770.0,1,540.8,Yes,2023-06-24,Yes
Timothy Monigatti,M,SBD,Raw,26,Open,73.85,267.5,277.5,283.5,283.5,165.0,170.0,-172.5,170.0,297.5,315.0,324.5,324.5,778.0,2,563.74,Yes,2023-06-11,Yes
Timothy Monigatti,M,SBD,Raw,26,Open,73.8,260.0,-270.0,-270.0,260.0,162.5,167.5,-172.5,167.5,290.0,305.0,-322.5,305.0,732.5,1,531.01,Yes,2023-03-04,Yes
Timothy Monigatti,M,SBD,Raw,25,Open,82.55,275.0,290.0,-300.0,290.0,177.5,182.5,185.0,185.0,307.5,325.0,-330.0,325.0,800.0,1,541.73,Yes,2022-11-28,Yes
Timothy Monigatti,M,SBD,Raw,25,Open,82.96,250.0,270.0,280.0,280.0,175.0,-180.0,180.0,180.0,307.5,317.5,-322.0,317.5,777.5,1,525.02,Yes,2022-08-01,Yes
Timothy Monigatti,M,SBD,Raw,25,Open,82.4,-280.0,280.0,-295.0,280.0,170.0,175.0,180.0,180.0,305.0,-330.0,-340.0,305.0,765.0,5,518.56,Yes,2022-06-06,Yes
Timothy Monigatti,M,SBD,Raw,25,Open,82.85,280.0,295.0,307.5,307.5,170.0,177.5,182.5,182.5,300.0,312.5,322.5,322.5,812.5,1,549.07,Yes,2022-04-09,Yes
Timothy Monigatti,M,SBD,Raw,24,Open,82.9,272.5,287.5,300.5,300.5,170.0,175.0,180.0,180.0,302.5,322.0,328.0,328.0,808.5,1,546.18,Yes,2021-11-13,Yes
