Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Delaney Wallace,M,SBD,Raw,29,24-34,24-39,Open,82.75,,282.5,297.5,305,,305,192.5,202.5,207.5,,207.5,310,330,-335,,330,842.5,3,569.73,563.38,542.00,116.80,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Delaney Wallace,M,SBD,Raw,28,24-34,24-39,Open,82.8,83,285,295,-302.5,,295,185,-192.5,195,,195,310,325,-330,,325,815,1,550.94,544.79,524.11,112.96,Yes,USA,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Delaney Wallace,M,SBD,Raw,28,24-34,24-39,Open,82.9,,282.5,297.5,305,,305,185,192.5,200,,200,310,330,-337.5,,330,835,4,564.08,557.76,536.56,115.66,Yes,USA,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Delaney Wallace,M,SBD,Raw,27,24-34,24-39,Open,82.4,83,282.5,295,-302.5,,295,180,187.5,192.5,,192.5,302.5,315,-322.5,,315,802.5,1,543.98,537.99,517.68,111.50,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Delaney Wallace,M,SBD,Raw,27,24-34,24-39,MR-O,82.36,83,282.5,295,300,,300,-187.5,187.5,190,,190,290,305,320,,320,810,1,549.22,543.18,522.68,112.57,Yes,USA,NY,AMP,IPF,2022-04-01,USA,TX,Austin,Classic Open Nationals Presented by SBD,Yes
Delaney Wallace,M,SBD,Raw,26,24-34,24-39,MR-O,82.94,83,287.5,302.5,-307.5,,302.5,190,195,197.5,,197.5,305,315,322.5,,322.5,822.5,2,555.49,549.25,528.36,113.90,Yes,USA,NY,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Raw Nationals,Yes
Delaney Wallace,M,SBD,Raw,25,24-34,24-39,MR-O,82.08,83,270,282.5,292.5,,292.5,182.5,190,192.5,,192.5,277.5,292.5,305,,305,790,1,536.69,530.85,510.90,109.98,Yes,USA,NY,USAPL,IPF,2020-03-07,USA,OH,,Arnold A7 Pro Raw Challenge,Yes
Delaney Wallace,M,SBD,Raw,24.5,24-34,24-39,MR-O,82.27,83,260,272.5,280,,280,165,180,185,,185,272.5,287.5,-292.5,,287.5,752.5,6,510.55,504.95,485.92,104.63,Yes,USA,NY,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals,Yes
Delaney Wallace,M,SBD,Raw,24,24-34,24-39,MR-O,82.45,83,182.5,215,230,,230,167.5,177.5,182.5,,182.5,255,272.5,287.5,,287.5,700,1,474.34,469.10,451.38,97.22,Yes,USA,NY,USAPL,IPF,2019-06-15,USA,NY,,New York State Championships,Yes
Delaney Wallace,M,SBD,Raw,23,20-23,24-39,Open,81.9,82.5,,,,,255,,,,,175,,,,,290,720,3,489.75,484.46,466.30,100.34,,USA,NY,USPA,IPL,2018-07-12,USA,NV,Las Vegas,National Championships,Yes
Delaney Wallace,M,SBD,Raw,23,20-23,24-39,Juniors 20-23,81.9,82.5,,,,,255,,,,,175,,,,,290,720,1,489.75,484.46,466.30,100.34,,USA,NY,USPA,IPL,2018-07-12,USA,NV,Las Vegas,National Championships,Yes
Delaney Wallace,M,SBD,Raw,23,20-23,24-39,Open,81.8,82.5,,,,,235,,,,,178.5,,,,,255,668.5,1,455.04,450.14,433.29,93.22,,USA,NY,USPA,IPL,2018-02-03,USA,NY,Yorktown Heights,SMG's Westchester Rebellion,Yes
Delaney Wallace,M,SBD,Raw,23,20-23,24-39,Juniors 20-23,81.8,82.5,,,,,235,,,,,178.5,,,,,255,668.5,1,455.04,450.14,433.29,93.22,,USA,NY,USPA,IPL,2018-02-03,USA,NY,Yorktown Heights,SMG's Westchester Rebellion,Yes
