Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Evie Corrigan,F,SBD,Raw,27,24-34,24-39,Open,51.85,,160,165,167.5,,167.5,97.5,102.5,105,,105,197.5,208.5,-216,,208.5,481,4,587.47,600.97,532.77,121.76,Yes,New Zealand,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,27,24-34,24-39,Open,55.25,57,160,165,170,,170,97.5,102.5,104,,104,192.5,202.5,210,,210,484,1,566.07,575.53,509.23,116.28,Yes,New Zealand,,NZPF,IPF,2023-09-06,New Zealand,CAN,Christchurch,New Zealand Nationals,Yes
Evie Corrigan,F,SBD,Raw,27,24-34,24-39,Open,51.9,52,155,160,162.5,,162.5,95,97.5,100,,100,190,197.5,-203,,197.5,460,1,561.45,574.31,509.11,116.35,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,26,24-34,24-39,Open,51.8,,150,155,160,,160,92.5,95,97.5,,97.5,185,195,202.5,,202.5,460,1,562.20,575.16,509.91,116.54,Yes,New Zealand,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,26,24-34,24-39,Open,55.9,57,155,160,165,,165,90,95,97.5,,97.5,187.5,197.5,205.5,,205.5,468,1,543.11,551.42,487.77,111.42,Yes,New Zealand,,CommonwealthPF,IPF,2022-11-28,New Zealand,,Auckland,Commonwealth Championships,Yes
Evie Corrigan,F,SBD,Raw,26,24-34,24-39,Open,56.7,57,160,167.5,171,,171,92.5,97.5,100,,100,185,195,205,,205,476,1,547.24,554.64,490.48,112.10,Yes,New Zealand,,NZPF,IPF,2022-08-01,New Zealand,MWT,Palmerston North,New Zealand Championships,Yes
Evie Corrigan,F,SBD,Raw,26,24-34,24-39,Open,56.65,57,160,-167.5,167.5,,167.5,95,100,102.5,,102.5,187.5,-197.5,200,,200,470,4,540.66,548.02,484.64,110.76,Yes,New Zealand,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,25,24-34,24-39,Open,56.9,57,157.5,165,170,,170,85,90,95,,95,185,195,201,,201,466,1,534.51,541.49,478.82,109.45,Yes,New Zealand,,NZPF,IPF,2021-06-11,New Zealand,AKL,Auckland,North Island Championships,Yes
Evie Corrigan,F,SBD,Raw,24,24-34,24-39,Open,55.95,57,160,168,-171,,168,90,94,96.5,,96.5,185,193,200,,200,464.5,1,538.73,546.92,483.78,110.51,Yes,New Zealand,,NZPF,IPF,2020-10-06,New Zealand,CAN,Christchurch,Nationals,Yes
Evie Corrigan,F,SBD,Raw,24,24-34,24-39,Open,63,63,140,147.5,155,,155,75,80,85,,85,167.5,175,185,,185,425,1,457.09,456.43,403.04,92.98,Yes,New Zealand,,NZPF,IPF,2020-07-11,New Zealand,WKO,Hamilton,WBOP Regional Championships,Yes
Evie Corrigan,F,SBD,Raw,23,20-23,19-23,Open,56.6,57,150,156,160.5,,160.5,77.5,82.5,85,,85,170,177.5,185,,185,430.5,1,495.50,502.31,444.22,101.52,Yes,New Zealand,,NZPF,IPF,2019-11-23,New Zealand,AKL,Auckland,Auckland Classic Cup,Yes
Evie Corrigan,F,SBD,Raw,23,20-23,19-23,Juniors,56.3,57,152.5,-160,-160,,152.5,85,90,-92.5,,90,170,178,-185.5,,178,420.5,2,485.69,492.69,435.76,99.56,Yes,New Zealand,,IPF,IPF,2019-06-04,Sweden,,Helsingborg,World Classic Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,22,20-23,19-23,Juniors,56.6,57,142.5,152.5,-160,,152.5,85,90,-92,,90,165,177.5,-182.5,,177.5,420,1,483.42,490.06,433.39,99.04,Yes,New Zealand,,NZPF,IPF,2019-04-06,New Zealand,AKL,Auckland,Auckland Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,22,20-23,19-23,Open,54.7,57,138,145.5,148,,148,85,90,91.5,,91.5,162.5,172.5,178,,178,417.5,1,491.58,500.36,442.82,101.10,Yes,New Zealand,,NZPF,IPF,2018-10-28,New Zealand,AKL,Auckland,New Zealand Record Breakers,Yes
Evie Corrigan,F,SBD,Raw,22,20-23,19-23,Open,51.62,52,132.5,140,143.5,,143.5,80,85.5,86.5,,86.5,155,165,-170,,165,395,1,483.93,495.22,439.09,100.37,Yes,New Zealand,,NZPF,IPF,2018-08-23,New Zealand,NTL,Whangarei,New Zealand Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,22,20-23,19-23,Juniors,51.8,52,-130,130,140.5,,140.5,77.5,82.5,85,,85,145,157.5,160,,160,385.5,1,471.15,482.01,427.32,97.66,Yes,New Zealand,,IPF,IPF,2018-06-06,Canada,,Calgary,World Classic Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,21,20-23,19-23,Juniors,52,52,117.5,125,132.5,,132.5,75,80,81,,81,140,147.5,155,,155,368.5,1,449.17,459.39,407.20,93.05,Yes,New Zealand,,NZPF,IPF,2018-04-08,New Zealand,AKL,Auckland,Auckland Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,21,20-23,19-23,Juniors,51.9,52,102.5,110,115,,115,67.5,72.5,75.5,,75.5,125,135,140,,140,330.5,1,403.39,412.63,365.78,83.59,Yes,New Zealand,,NZPF,IPF,2017-11-05,New Zealand,AKL,Auckland,Auckland Record Breakers,Yes
Evie Corrigan,F,SBD,Raw,21,20-23,19-23,Juniors,52,52,,,,,107.5,,,,,70,,,,,130,307.5,1,374.81,383.34,339.80,77.65,Yes,New Zealand,,NZPF,IPF,2017-10-29,New Zealand,AKL,Auckland,National Classic Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,21,20-23,19-23,Juniors,50.2,52,90,97.5,102.5,,102.5,-60,62.5,-65,,62.5,110,120,-125,,120,285,1,356.09,365.01,324.05,74.23,Yes,New Zealand,,NZPF,IPF,2017-06-10,New Zealand,CAN,Christchurch,South Island Championships,Yes
Evie Corrigan,F,SBD,Raw,20,20-23,19-23,Open,50.55,52,80,87.5,92.5,,92.5,60,62.5,-65,,62.5,90,100,,,100,255,3,317.05,324.87,288.31,66.00,Yes,New Zealand,,NZPF,IPF,2017-04-08,New Zealand,CAN,Christchurch,Canterbury Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,19,18-19,19-23,Juniors,51.35,52,70,75,82.5,,82.5,55,-60,60,,60,100,110,120,,120,262.5,1,322.78,330.43,293.04,67.01,Yes,New Zealand,,NZPF,IPF,2016-02-27,New Zealand,WGN,Wellington,CDPA Bench Press Qualifier,Yes
