Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Gavin Adin,M,SBD,Raw,25,24-34,24-39,MR-G,95.4,105,305,330,-340,,330,197.5,210,215,,215,295,322.5,350,,350,895,G,562.64,555.66,531.34,115.65,Yes,USA,NJ,AMP,IPF,2024-03-14,USA,NV,Reno,Classic Raw Open Nationals,Yes
Gavin Adin,M,SBD,Raw,25,24-34,24-39,Open,92.92,,305,331.5,337,,337,192.5,205,-212.5,,205,295,320,345,,345,887,4,564.59,557.43,533.54,116.09,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Gavin Adin,M,SBD,Raw,24.5,24-34,24-39,Open,92.45,93,-302.5,310,-325,,310,197.5,210,220,,220,310,330,-342.5,,330,860,5,548.75,541.78,518.66,112.83,Yes,USA,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Gavin Adin,M,SBD,Raw,24.5,24-34,24-39,Open,92.9,,305,325,-336.5,,325,200,210,215,,215,300,325,340,,340,880,3,560.19,553.09,529.39,115.18,Yes,USA,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Gavin Adin,M,SBD,Raw,23.5,24-34,24-39,Open,92.4,93,305,320,-331.5,,320,200,210,-215,,210,305,-320,335,,335,865,4,552.08,545.07,521.82,113.52,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Gavin Adin,M,SBD,Raw,23,20-23,24-39,Open,93.2,105,-272.5,290,320,,320,190,205,215,,215,272.5,300,320,,320,855,1,543.43,536.56,513.50,111.73,Yes,,,USVIPF,IPF,2022-02-26,US Virgin Islands,,St Thomas,Classic & Equipped National Championships,Yes
Gavin Adin,M,SBD,Raw,22.5,20-23,19-23,Juniors,92.51,93,-310,310,-320,,310,205,215,-217.5,,215,302.5,310,317.5,,317.5,842.5,1,537.41,530.59,507.93,110.50,Yes,US Virgin Islands,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Gavin Adin,M,SBD,Raw,22.5,20-23,19-23,MR-O,92.55,93,310,320,327.5,,327.5,212.5,220,-222.5,,220,310,322.5,332.5,,332.5,880,2,561.21,554.09,530.42,115.40,Yes,USA,NJ,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Raw Nationals,Yes
Gavin Adin,M,SBD,Raw,21.5,20-23,19-23,MR-O,92.75,93,280,297.5,305,,305,200,208,210,,210,285,302.5,315,,315,830,1,528.77,522.07,499.72,108.72,Yes,USA,NJ,USAPL,IPF,2020-08-08,USA,FL,,Vice City,Yes
Gavin Adin,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,92.75,93,280,297.5,305,,305,200,208,210,,210,285,302.5,315,,315,830,1,528.77,522.07,499.72,108.72,Yes,USA,NJ,USAPL,IPF,2020-08-08,USA,FL,,Vice City,Yes
Gavin Adin,M,SBD,Raw,20.5,20-23,19-23,MR-Jr,91.46,93,260,-272.5,277.5,,277.5,177.5,187.5,195,,195,272.5,285,290,,290,762.5,6,489.10,482.87,462.47,100.57,Yes,USA,NJ,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals,Yes
Gavin Adin,M,SBD,Raw,20.5,20-23,19-23,MR-Jr,89.7,93,245,260,-270,,260,167.5,177.5,182.5,,182.5,272.5,285,-287.5,,285,727.5,1,471.20,465.22,445.94,96.87,Yes,USA,NJ,USAPL,IPF,2019-06-01,USA,NJ,,New Jersey State Championship,Yes
