Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Gustav Hedlund,M,SBD,Raw,28.5,24-34,24-39,Open,92.7,,300,315,325,,325,197.5,-210,215,,215,327.5,342.5,355,,355,895,1,570.33,563.10,539.01,117.27,Yes,Sweden,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Gustav Hedlund,M,SBD,Raw,27.5,24-34,24-39,Open,92.65,93,295,312.5,320,,320,200,210,-217.5,,210,320,332.5,345,,345,875,2,557.73,550.65,527.11,114.68,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Gustav Hedlund,M,SBD,Raw,27.5,24-34,24-39,Open,92.75,93,,,,,320,,,,,217.5,,,,,342.5,880,1,560.63,553.52,529.83,115.27,Yes,Sweden,,SSF,IPF,2023-02-02,Sweden,,,SM Klassisk Styrkelyft,Yes
Gustav Hedlund,M,SBD,Raw,27,24-34,24-39,Open,92.48,93,-290,-295,300,,300,195,207.5,215,,215,325,-340,-340,,325,840,3,535.90,529.09,506.51,110.19,Yes,Sweden,,EPF,IPF,2022-11-25,Poland,,Skierniewice,European Classic Powerlifting Championships,Yes
Gustav Hedlund,M,SBD,Raw,26.5,24-34,24-39,Open,92.5,93,290,307.5,317.5,,317.5,195,207.5,-212.5,,207.5,330,340,-350,,340,865,5,551.79,544.78,521.52,113.46,Yes,Sweden,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Gustav Hedlund,M,SBD,Raw,26.5,24-34,24-39,Open,92.5,93,,,,,310,,,,,212.5,,,,,340,862.5,1,550.20,543.21,520.02,113.13,Yes,Sweden,,SSF,IPF,2022-03-24,Sweden,,,SM Styrkelyft klassisk,Yes
Gustav Hedlund,M,SBD,Raw,26,24-34,24-39,Open,92.6,93,290,305,315,,315,195,205,-212.5,,205,317.5,345,-355,,345,865,1,551.50,544.50,521.23,113.40,Yes,Sweden,,EPF,IPF,2021-12-03,Sweden,,Vasteras,European Classic Powerlifting Championships,Yes
Gustav Hedlund,M,SBD,Raw,25.5,24-34,24-39,Open,92.88,93,290,302.5,312.5,,312.5,192.5,202.5,210,,210,322.5,335,-352.5,,335,857.5,2,545.92,539.00,515.91,112.25,Yes,Sweden,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Gustav Hedlund,M,SBD,Raw,24,24-34,24-39,Open,92.6,93,285,300,-305,,300,190,197.5,-205,,197.5,315,-345,-357.5,,315,812.5,2,518.03,511.45,489.60,106.52,Yes,Sweden,,EPF,IPF,2019-11-29,Lithuania,,Kaunas,European Classic Powerlifting Championships,Yes
Gustav Hedlund,M,SBD,Raw,23.5,24-34,24-39,Open,91.6,93,,,,,292.5,,,,,195,,,,,315,802.5,1,514.37,507.82,486.33,105.77,Yes,Sweden,,SSF,IPF,2019-06-27,Sweden,,,SM Klassisk Styrkelyft,Yes
Gustav Hedlund,M,SBD,Raw,23.5,24-34,24-39,Open,92.25,93,282.5,292.5,300,,300,192.5,200,205,,205,312.5,327.5,337.5,,337.5,842.5,2,538.14,531.30,508.68,110.65,Yes,Sweden,,IPF,IPF,2019-06-04,Sweden,,Helsingborg,World Classic Powerlifting Championships,Yes
