Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Natalie Richards #1,F,SBD,Raw,25.5,24-34,24-39,Open,56.36,,172.5,180,186.5,,186.5,100,107.5,110,,110,205,220,-230,,220,516.5,9,596.16,604.67,534.79,122.19,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Delaney Wallace,M,SBD,Raw,29,24-34,24-39,Open,82.75,,282.5,297.5,305,,305,192.5,202.5,207.5,,207.5,310,330,-335,,330,842.5,3,569.73,563.38,542.00,116.80,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,25,24-34,24-39,Open,186.7,,425,455,478,,478,255,-275,-275,,255,-380,380,-429,,380,1113,11,565.69,595.66,557.47,109.54,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Gavin Adin,M,SBD,Raw,25,24-34,24-39,Open,92.92,,305,331.5,337,,337,192.5,205,-212.5,,205,295,320,345,,345,887,4,564.59,557.43,533.54,116.09,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Amanda Lawrence #1,F,SBD,Raw,26,24-34,24-39,Open,83.51,,235,249.5,-253,,249.5,122.5,130,135,,135,242.5,262.5,-269,,262.5,647,11,597.00,578.65,506.09,122.47,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Kyota Ushiyama,M,SBD,Raw,26.5,24-34,24-39,Open,65.81,,-215,215,240,,240,162.5,170,-172.5,,170,280,-295,-302.5,,280,690,10,541.79,543.07,527.78,107.72,Yes,Japan,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Carl Johansson,M,SBD,Raw,23,20-23,24-39,Open,73.75,,252.5,265,270,,270,177.5,-185,185,,185,310,330.5,-340.5,,330.5,785.5,9,569.68,566.38,547.65,115.52,Yes,Sweden,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Jade Jacob,F,SBD,Raw,22.5,20-23,19-23,Open,56.57,,177.5,186,188,,188,95,100,-102.5,,100,215,227.5,231.5,,231.5,519.5,8,598.15,606.41,536.29,122.55,Yes,France,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Tiffany Chapon,F,SBD,Raw,22.5,20-23,19-23,Open,46.77,,155,161.5,-162.5,,161.5,95,100,-101,,100,160,167.5,170,,170,431.5,10,567.57,582.38,519.35,120.20,Yes,France,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Sonita Muluh,F,SBD,Raw,27,24-34,24-39,Open,126.63,,270,290.5,300.5,,300.5,140,147.5,-152.5,,147.5,-245,250,260,,260,708,6,560.13,560.79,473.83,120.35,Yes,Belgium,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Agata Sitko,F,SBD,Raw,21.5,20-23,19-23,Open,68.9,,185,192.5,197.5,,197.5,146,152,154,,154,235,242,248.5,,248.5,600,1,612.20,603.52,532.18,124.40,Yes,Poland,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Prescillia Bavoil,F,SBD,Raw,30,24-34,24-39,Open,66.46,,207.5,218,225,,225,110,117.5,122.5,,122.5,225,235,237.5,,237.5,585,2,609.42,603.80,532.77,123.83,Yes,France,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,29,24-34,24-39,Open,65.79,,240,-252.5,-252.5,,240,160,170,172.5,,172.5,270,290,-297.5,,290,702.5,5,551.73,553.05,537.48,109.69,Yes,France,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Gustav Hedlund,M,SBD,Raw,28.5,24-34,24-39,Open,92.7,,300,315,325,,325,197.5,-210,215,,215,327.5,342.5,355,,355,895,1,570.33,563.10,539.01,117.27,Yes,Sweden,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Carola Garra,F,SBD,Raw,29.5,24-34,24-39,Open,67.17,,205,215,220,,220,140,146.5,150,,150,202.5,212.5,-225,,212.5,582.5,3,603.08,596.61,526.34,122.54,Yes,Italy,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,,,,Open,104.58,,340,355,363,,363,217.5,227.5,-230,,227.5,325,335,-350,,335,925.5,8,559.07,553.82,528.83,114.48,Yes,Ukraine,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Brittany Schlater,F,SBD,Raw,32.5,24-34,24-39,Open,126.56,,262.5,277.5,285,,285,147.5,152.5,157.5,,157.5,-247.5,255,267.5,,267.5,710,5,561.79,562.43,475.23,120.70,Yes,Canada,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Karlina Tongotea,F,SBD,Raw,,,,Open,75.6,,217.5,226,230.5,,230.5,120,125,127.5,,127.5,242.5,-252.5,252.5,,252.5,610.5,7,592.12,577.50,507.84,120.66,Yes,New Zealand,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,27,24-34,24-39,Open,51.85,,160,165,167.5,,167.5,97.5,102.5,105,,105,197.5,208.5,-216,,208.5,481,4,587.47,600.97,532.77,121.76,Yes,New Zealand,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Carlos Petterson-Grifith,M,SBD,Raw,29.5,24-34,24-39,Open,92.9,,310,332.5,-337.5,,332.5,172.5,182.5,-190,,182.5,340,360,-375,,360,875,7,557.01,549.95,526.38,114.53,Yes,Guyana,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Tony Cliffe,M,SBD,Raw,39.5,35-39,40-49,Open,119.61,,330,350,355,,355,240,-253.5,-253.5,,240,330,-360,-385,,330,925,12,531.81,532.21,509.98,107.68,Yes,England,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Timothy Monigatti,M,SBD,Raw,27,24-34,24-39,Open,73.71,,270,284,288.5,,288.5,165,170,-175,,170,315,331,-348.5,,331,789.5,6,572.79,569.49,550.67,116.14,Yes,New Zealand,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Jonathan Cayco,M,SBD,Raw,31,24-34,24-39,Open,92.65,,285,-297.5,300,,300,235,243.5,245.5,,245.5,320,340,347.5,,347.5,893,2,569.21,561.98,537.95,117.04,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Noémie Allabert,F,SBD,Raw,33,24-34,24-39,Open,51.87,,157.5,165,-170,,165,80,-85,85,,85,187.5,197.5,-205,,197.5,447.5,12,546.41,558.95,495.51,113.24,Yes,France,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
