Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Jade Jacob,F,SBD,Raw,22.5,20-23,19-23,Open,56.57,,177.5,186,188,,188,95,100,-102.5,,100,215,227.5,231.5,,231.5,519.5,8,598.15,606.41,536.29,122.55,Yes,France,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Jade Jacob,F,SBD,Raw,22,20-23,19-23,Open,56.67,,167.5,180,186,,186,92.5,97.5,-100,,97.5,215,227.5,-231.5,,227.5,511,1,587.68,595.67,526.77,120.39,Yes,France,,FFForce,IPF,2023-10-22,France,,Cenon,Girl Power,Yes
Jade Jacob,F,SBD,Raw,22,20-23,19-23,Open,56.77,57,165,172.5,180,,180,90,95,100,,100,200,220,-233,,220,500,1,574.37,582.04,514.70,117.64,Yes,France,,FFForce,IPF,2023-09-20,France,,Le Crès,Championnats de France Élite de Force Athlétique,Yes
Jade Jacob,F,SBD,Raw,22,20-23,19-23,Open,56.65,57,172.5,180,182.5,,182.5,95,-97.5,97.5,,97.5,215,222.5,-232.5,,222.5,502.5,2,578.04,585.92,518.15,118.42,Yes,France,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Jade Jacob,F,SBD,Raw,21.5,20-23,19-23,Open,56.5,,172.5,180,-186,,180,92.5,-100,-100,,92.5,215,225,231,,231,503.5,3,580.20,588.31,520.29,118.89,Yes,France,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Jade Jacob,F,SBD,Raw,21,20-23,19-23,Juniors,56.68,57,165,172.5,-177.5,,172.5,92.5,97.5,100,,100,210.5,223,-227.5,,223,495.5,1,569.79,577.52,510.72,116.72,Yes,France,,EPF,IPF,2022-11-25,Poland,,Skierniewice,European Classic Powerlifting Championships,Yes
Jade Jacob,F,SBD,Raw,21,20-23,19-23,Juniors,56.5,57,170,178,,,178,92.5,-95,,,92.5,115,,,,115,385.5,9,444.23,450.43,398.35,91.03,Yes,France,,IPF,IPF,2022-08-31,Turkey,,Istanbul,World Junior Classic Powerlifting Championships,Yes
Jade Jacob,F,SBD,Raw,21,20-23,19-23,Open,56.45,57,167.5,172.5,175,,175,90,95,-97.5,,95,195,202.5,210,,210,480,2,553.44,561.24,496.36,113.42,Yes,France,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Jade Jacob,F,SBD,Raw,20.5,20-23,19-23,Open,56.19,57,157.5,165,172,,172,85,90,92.5,,92.5,190,201,-210.5,,201,465.5,1,538.36,546.26,483.15,110.38,Yes,France,,FFForce,IPF,2022-03-19,France,,Albi,Championnats de France Élite de Force Athlétique,Yes
Jade Jacob,F,SBD,Raw,20,20-23,19-23,Juniors,56.35,57,157.5,167.5,-173,,167.5,-85,85,-90,,85,170,188.5,200,,200,452.5,1,522.35,529.82,468.59,107.07,Yes,France,,EPF,IPF,2021-12-03,Sweden,,Vasteras,European Classic Powerlifting Championships,Yes
