Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Jamal Browner,M,SBD,Raw,29,24-34,24-39,Pro MR-O,109.45,110,332.5,-345,,,332.5,205,220,-227.5,,220,427.5,460,-470,,460,1012.5,1,600.81,596.77,570.28,122.64,,USA,TX,WRPF,WRPF,2024-04-06,USA,FL,Miami,The Ghost Clash 3,Yes
Jamal Browner,M,SBD,Raw,27,24-34,24-39,Open,109.4,110,332.5,355,370,,370,210,220,227.5,,227.5,420,455,-467.5,,455,1052.5,1,624.65,620.44,592.89,127.51,,USA,TX,USPA,IPL,2022-09-24,USA,MO,North Kansas City,Pro Raw Championships,Yes
Jamal Browner,M,SBD,Raw,27,24-34,24-39,Open,110,110,335,355,-370,,355,205,217.5,-227.5,,217.5,417.5,-442.5,-442.5,,417.5,990,1,586.34,582.61,556.83,119.64,,USA,GA,USPA,IPL,2022-01-15,USA,FL,Miami,Hybrid Showdown 4,Yes
Jamal Browner,M,SBD,Raw,26,24-34,24-39,Open,107.8,110,332.5,365,,,365,195,215,-227.5,,215,-392.5,420,-455,,420,1000,1,596.86,592.26,565.76,121.97,,USA,GA,WRPF,WRPF,2021-09-25,USA,MO,Kansas City,The Bucked Up Showdown,Yes
Jamal Browner,M,SBD,Raw,26,24-34,24-39,Open,110,110,325,347.5,365,,365,195,215,225,,225,385,410,-430,,410,1000,1,592.27,588.49,562.45,120.85,,USA,,WRPF,WRPF,2021-02-20,USA,FL,Miami,Hybrid Showdown III,Yes
Jamal Browner,M,SBD,Raw,26,24-34,24-39,Open,117.9,125,320,350,,,350,195,-215,215,,215,-410,,,,,,DQ,,,,,,USA,GA,USPA,IPL,2021-01-09,USA,IN,Indianapolis,Circle City Super,Yes
Jamal Browner,M,SBD,Raw,25,24-34,24-39,Open,108.6,110,325,337.5,350,,350,-195,207.5,-217.5,,207.5,395,420,432.5,440.5,432.5,990,1,589.20,584.94,558.87,120.34,,USA,GA,WRPF,WRPF,2020-02-01,USA,FL,Miami,Hybrid Showdown II,Yes
Jamal Browner,M,SBD,Raw,24,24-34,24-39,Pro Open,115.7,125,317.5,335,340,,340,190,205,215,,215,372.5,-390,-397.5,,372.5,927.5,1,539.35,538.06,515.15,109.56,,USA,GA,USA-UA,,2019-08-30,USA,CA,Mountain View,Boss of Bosses 6,Yes
Jamal Browner,M,D,Raw,24,24-34,24-39,Open,109.8,110,,,,,,,,,,,,,,,380,380,2,225.22,223.75,213.84,,,USA,GA,USA-UA,,2018-12-15,USA,FL,Miami,Hybrid Deadlift Invitational,Yes
Jamal Browner,M,SBD,Raw,23,20-23,24-39,Open,108.2,110,,,,,305,,,,,202.5,,,,,392.5,900,1,536.40,532.40,508.62,109.59,,USA,GA,USPA,IPL,2018-08-04,USA,GA,Atlanta,North American Championships,Yes
Jamal Browner,M,SBD,Raw,22,20-23,19-23,Open,104.6,105,-275,275,-290,,275,175,182.5,-187.5,,182.5,333.5,352.5,-365,,352.5,,DD,,,,,Yes,USA,,CPU,IPF,2017-05-27,Canada,ON,Toronto,Toronto Pro Supershow,Yes
Jamal Browner,M,SBD,Raw,22,20-23,19-23,Open,102.6,105,275,287.5,295,,295,167.5,175,-182.5,,175,317.5,337.5,352.5,,352.5,822.5,1,500.77,495.62,473.25,102.65,Yes,USA,GA,NAPF,IPF,2017-03-03,USA,OH,Columbus,Arnold A7 Bar Grip Pro Raw Challenge,Yes
Jamal Browner,M,SBD,Raw,22,20-23,19-23,Juniors,102.6,105,275,287.5,295,,295,167.5,175,-182.5,,175,317.5,337.5,352.5,,352.5,822.5,1,500.77,495.62,473.25,102.65,Yes,USA,GA,NAPF,IPF,2017-03-03,USA,OH,Columbus,Arnold A7 Bar Grip Pro Raw Challenge,Yes
Jamal Browner,M,SBD,Raw,22,20-23,19-23,MR-Jr,104.1,105,255,270,282.5,,282.5,160,170,180,,180,300,315,327.5,,327.5,790,2,478.11,473.51,452.14,97.93,Yes,USA,GA,USAPL,IPF,2016-10-13,USA,GA,Atlanta,Raw Nationals,Yes
Jamal Browner,M,SBD,Raw,22,20-23,19-23,MR-O,104.1,105,255,270,282.5,,282.5,160,170,180,,180,300,315,327.5,,327.5,790,5,478.11,473.51,452.14,97.93,Yes,USA,GA,USAPL,IPF,2016-10-13,USA,GA,Atlanta,Raw Nationals,Yes
Jamal Browner,M,SBD,Raw,21,20-23,19-23,MR-O,103.5,105,235,242.5,252.5,,252.5,160,165,172.5,,172.5,275,287.5,302.5,,302.5,727.5,1,441.33,436.96,417.24,90.43,Yes,USA,GA,USAPL,IPF,2016-07-23,USA,AL,,Border Bash Alabama vs Georgia,Yes
Jamal Browner,M,SBD,Raw,21,20-23,19-23,MR-Jr,103.5,105,235,242.5,252.5,,252.5,160,165,172.5,,172.5,275,287.5,302.5,,302.5,727.5,1,441.33,436.96,417.24,90.43,Yes,USA,GA,USAPL,IPF,2016-07-23,USA,AL,,Border Bash Alabama vs Georgia,Yes
