Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Jonathan Cayco,M,SBD,Raw,31,24-34,24-39,Open,92.65,,285,-297.5,300,,300,235,243.5,245.5,,245.5,320,340,347.5,,347.5,893,2,569.21,561.98,537.95,117.04,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Jonathan Cayco,M,SBD,Raw,30.5,24-34,24-39,Open,92.9,93,282.5,295,300,,300,230,237.5,243,,243,320,337.5,345,,345,888,1,565.28,558.12,534.20,116.23,Yes,USA,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Jonathan Cayco,M,SBD,Raw,30,24-34,24-39,Open,92.5,,282.5,300,-302.5,,300,230,239,241.5,,241.5,320,337.5,342.5,,342.5,884,2,563.91,556.75,532.98,115.95,Yes,USA,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Jonathan Cayco,M,SBD,Raw,29.5,24-34,24-39,Open,92.55,93,275,290,300,,300,222.5,232.5,238.5,,238.5,317.5,335,-350,,335,873.5,3,557.07,549.99,526.50,114.54,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Jonathan Cayco,M,SBD,Raw,29,24-34,24-39,MR-O,92.8,93,282.5,295,300,,300,227.5,235.5,240.5,,240.5,327.5,342.5,347.5,,347.5,888,1,565.58,558.40,534.50,116.29,Yes,USA,CA,AMP,IPF,2022-04-01,USA,TX,Austin,Classic Open Nationals Presented by SBD,Yes
Jonathan Cayco,M,SBD,Raw,28.5,24-34,24-39,Open,92.14,93,272.5,287.5,292.5,,292.5,222.5,233,238,,238,317.5,335,342.5,,342.5,873,1,557.95,550.86,527.42,114.73,Yes,US Virgin Islands,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Jonathan Cayco,M,SBD,Raw,28.5,24-34,24-39,MR-O,91.88,93,285,295,302.5,,302.5,222.5,231.5,238,,238,317.5,332.5,340,,340,880.5,1,563.52,556.35,532.74,115.87,Yes,USA,CA,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Raw Nationals,Yes
Jonathan Cayco,M,SBD,Raw,28,24-34,24-39,MR-O,92.7,93,282.5,300,305,,305,227.5,237.5,242.5,,242.5,315,335,345,,345,892.5,1,568.74,561.52,537.50,116.94,Yes,USA,CA,USAPL,IPF,2021-02-27,USA,CA,,Iron Office Winter Classic,Yes
Jonathan Cayco,M,SBD,Raw,26.5,24-34,24-39,MR-O,92.1,93,280,295,302.5,,302.5,215,225,231,,231,312.5,327.5,335,,335,868.5,1,555.19,548.13,524.82,114.16,Yes,USA,CA,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals,Yes
Jonathan Cayco,M,SBD,Raw,26.5,24-34,24-39,MR-O,92.6,93,277.5,295,300,,300,217.5,230.5,-235.5,,230.5,312.5,332.5,-340,,332.5,863,1,550.23,543.24,520.03,113.14,Yes,USA,CA,USAPL,IPF,2019-06-29,USA,CA,,California State Championships,Yes
Jonathan Cayco,M,SBD,Raw,25.5,24-34,24-39,MR-O,92.3,93,265,272.5,277.5,,277.5,200,210,215,,215,302.5,315,325,,325,817.5,4,522.04,515.40,493.44,107.34,Yes,USA,CA,USAPL,IPF,2018-10-11,USA,WA,Spokane,Raw Nationals,Yes
Jonathan Cayco,M,SBD,Raw,25,24-34,24-39,MR-O,91.55,93,-257.5,-257.5,257.5,,257.5,190,-195,200,,200,287.5,302.5,317.5,,317.5,775,3,496.88,490.55,469.81,102.17,Yes,USA,CA,USAPL,IPF,2018-03-03,USA,OH,Columbus,The Arnold SBD Pro American,Yes
Jonathan Cayco,M,SBD,Raw,24.5,24-34,24-39,MR-O,92.74,93,252.5,257.5,265,,265,195,205,210,,210,287.5,297.5,312.5,,312.5,787.5,4,501.72,495.36,474.16,103.16,Yes,USA,CA,USAPL,IPF,2017-10-10,USA,FL,Orlando,Raw National Championships,Yes
Jonathan Cayco,M,SBD,Raw,24.5,24-34,24-39,MR-O,90.7,93,245,-262.5,262.5,,262.5,182.5,190,195,,195,290,305,310,,310,767.5,1,494.34,488.06,467.60,101.64,Yes,USA,CA,USAPL,IPF,2017-06-10,USA,CA,,NorCal Open,Yes
Jonathan Cayco,M,SBD,Raw,23.5,24-34,24-39,MR-O,89.8,93,237.5,252.5,262.5,,262.5,180,187.5,190,,190,287.5,300,-310,,300,752.5,1,487.11,480.94,460.97,100.15,Yes,USA,CA,USAPL,IPF,2016-10-29,USA,CA,Rancho Mirage,Southwest Regionals & Ferrigno Power Classic,Yes
Jonathan Cayco,M,SBD,Raw,23.5,24-34,24-39,MR-O,89.8,93,225,242.5,245,,245,162.5,175,-182.5,,175,265,287,295,,295,715,2,462.84,456.97,438.00,95.16,Yes,USA,CA,USAPL,IPF,2016-05-14,USA,CA,Mountain View,Boss of NorCal II,Yes
Jonathan Cayco,M,SBD,Wraps,22.5,20-23,19-23,M_JCR_APF,90,90,,,,,227.5,,,,,160,,,,,260,647.5,1,418.67,413.36,396.16,86.08,,,,APF,WPC,2015-09-26,USA,CA,Bakersfield,California Classic,Yes
