Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Joy Rindfleisch,F,B,Raw,19,18-19,19-23,FR-Jr,68.5,69,,,,,,110,117.5,125,,125,,,,,,125,1,127.96,126.25,111.34,100.00,Yes,USA,NY,AMP,IPF,2024-01-27,USA,TX,Austin,Bench Press Nationals,Yes
Joy Rindfleisch,F,SBD,Raw,19,18-19,19-23,FR-Jr,68.4,69,150,155,165,,165,110,115,120,,120,165,172.5,182.5,,182.5,467.5,1,478.99,472.66,416.85,97.33,Yes,USA,NY,AMP,IPF,2024-01-20,USA,NY,Kenmore,Winter Classic II,Yes
Joy Rindfleisch,F,SBD,Raw,19,18-19,19-23,FR-O,68.4,69,150,155,165,,165,110,115,120,,120,165,172.5,182.5,,182.5,467.5,1,478.99,472.66,416.85,97.33,Yes,USA,NY,AMP,IPF,2024-01-20,USA,NY,Kenmore,Winter Classic II,Yes
Joy Rindfleisch,F,SBD,Raw,18.5,18-19,19-23,Juniors,62.96,63,145,-152.5,-152.5,,145,102.5,110,117.5,,117.5,160,170,-182.5,,170,432.5,9,465.34,464.71,410.35,94.66,Yes,USA,,IPF,IPF,2023-08-27,Romania,,Cluj Napoca,World Junior and Sub-Junior Classic Championships,Yes
Joy Rindfleisch,F,SBD,Raw,18,18-19,19-23,FR-Jr,63,63,140,145,152.5,,152.5,102.5,108,111,,111,157.5,170,-177.5,,170,433.5,2,466.24,465.56,411.10,94.84,Yes,USA,NY,AMP,IPF,2023-06-02,USA,,,Classic Junior and Masters Nationals,Yes
Joy Rindfleisch,F,SBD,Raw,18,18-19,19-23,FR-Jr,62.8,63,132.5,137.5,142.5,,142.5,95,100,105,,105,147.5,157.5,-165,,157.5,405,1,436.43,436.00,385.01,88.79,Yes,USA,NY,AMP,IPF,2023-01-21,USA,NY,,Winter Classic,Yes
Joy Rindfleisch,F,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,66.85,69,125,132.5,137.5,,137.5,96,101,-103,,101,140,147.5,152.5,,152.5,391,2,405.94,401.85,354.55,82.48,Yes,USA,,IPF,IPF,2022-08-31,Turkey,,Istanbul,World Junior Classic Powerlifting Championships,Yes
Joy Rindfleisch,F,SBD,Raw,17,16-17,14-18,FR-Sj,66.34,69,117.5,125,130,,130,90,95,100.5,,100.5,137.5,142.5,150,,150,380.5,1,396.80,393.24,346.99,80.63,Yes,USA,NY,AMP,IPF,2022-06-18,USA,FL,Orlando,Nationals,Yes
Joy Rindfleisch,F,SBD,Raw,17,16-17,14-18,FR-O,66.45,67.5,112.5,117.5,125,,125,92.5,97.5,102.5,,102.5,130,140,147.5,,147.5,375,1,390.69,387.09,341.56,79.39,Yes,USA,NY,USAPL,,2022-04-30,USA,NY,,New York Ladies of Iron,Yes
Joy Rindfleisch,F,SBD,Raw,17,16-17,14-18,FR-T,66.45,67.5,112.5,117.5,125,,125,92.5,97.5,102.5,,102.5,130,140,147.5,,147.5,375,1,390.69,387.09,341.56,79.39,Yes,USA,NY,USAPL,,2022-04-30,USA,NY,,New York Ladies of Iron,Yes
