Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Karlina Tongotea,F,SBD,Raw,,,,Open,75.6,,217.5,226,230.5,,230.5,120,125,127.5,,127.5,242.5,-252.5,252.5,,252.5,610.5,7,592.12,577.50,507.84,120.66,Yes,New Zealand,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Karlina Tongotea,F,SBD,Raw,30,24-34,24-39,Open,80.6,84,205,217.5,227,,227,112.5,122.5,125,,125,232.5,245,-260.5,,245,597,1,560.44,544.01,476.88,114.65,Yes,New Zealand,,NZPF,IPF,2023-09-06,New Zealand,CAN,Christchurch,New Zealand Nationals,Yes
Karlina Tongotea,F,SBD,Raw,30.5,24-34,24-39,Open,75.65,76,215,222.5,225.5,,225.5,115,120,122.5,,122.5,235,242.5,245,,245,593,1,574.95,560.71,493.06,117.17,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Karlina Tongotea,F,SBD,Raw,,,,Open,75.5,,215,223.5,-232,,223.5,115,120,-125,,120,240,250,-257.5,,250,593.5,9,576.04,561.88,494.13,117.38,Yes,New Zealand,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Karlina Tongotea,F,SBD,Raw,29.5,24-34,24-39,Open,75.25,76,210,219,223,,223,117.5,122,-126,,122,240.5,248,255,,255,600,1,583.36,569.20,500.63,118.85,Yes,New Zealand,,CommonwealthPF,IPF,2022-11-28,New Zealand,,Auckland,Commonwealth Championships,Yes
Karlina Tongotea,F,SBD,Raw,29.5,24-34,24-39,Open,75.4,76,205,216,-220,,216,120,-124,124,,124,240.5,250,-260,,250,590,1,573.04,559.02,491.64,116.76,Yes,New Zealand,,NZPF,IPF,2022-08-01,New Zealand,MWT,Palmerston North,New Zealand Championships,Yes
Karlina Tongotea,F,SBD,Raw,29.5,24-34,24-39,Open,75.3,76,202.5,211,215,,215,115,121,-125,,121,229,238,246,,246,582,1,565.66,551.90,485.40,115.25,Yes,New Zealand,,NZPF,IPF,2022-03-26,New Zealand,AKL,Auckland,Auckland Powerlifting Championships,Yes
Karlina Tongotea,F,SBD,Raw,,,,Open,71.7,72,191,200,-203,,200,110,116,118,,118,225,-235,235,,235,553,1,551.83,541.26,476.82,112.22,Yes,New Zealand,,WP-NZ,WP,2021-06-05,New Zealand,WGN,Paraparaumu,North Island Championships,Yes
Karlina Tongotea,F,SBD,Raw,28.5,24-34,24-39,Open,71.8,72,180,190,-200,,190,103,110,115,,115,210,220,228,,228,533,1,531.46,521.19,459.13,108.09,Yes,New Zealand,,WP,WP,2021-01-30,Australia,,,Oceania Championships,Yes
Karlina Tongotea,F,SBD,Raw,,,,Open,74.6,84,174,182,185,,185,105,112,-116,,112,210,220,227,,227,524,1,511.81,499.81,439.75,104.23,Yes,New Zealand,,WP-NZ,WP,2020-07-18,New Zealand,AKL,Auckland,North Island Championships,Yes
Karlina Tongotea,F,SBD,Raw,27.5,24-34,24-39,Open,74.6,84,174,182,185,,185,105,112,-116,,112,210,220,227,,227,524,1,511.81,499.81,439.75,104.23,Yes,New Zealand,,WP,WP,2020-07-08,Australia,VIC,Melbourne,Pacific Invitational,Yes
Karlina Tongotea,F,SBD,Raw,27,24-34,24-39,Open,69.9,72,165,170,173,,173,91,96,100,,100,198,212,215,,215,488,1,493.89,485.96,428.38,100.38,Yes,New Zealand,,WP,WP,2019-10-03,Canada,AB,Calgary,World Championships,Yes
Karlina Tongotea,F,SBD,Raw,,,,Open,67.75,72,158,163,167,,167,86,93,-100,,93,195,205,215,,215,475,1,489.34,483.51,426.50,99.43,Yes,New Zealand,,WP-NZ,WP,2019-07-26,New Zealand,CAN,Christchurch,National Championships,Yes
Karlina Tongotea,F,SBD,Raw,,,,Open,63.7,64,150,151,158,,158,-85,-85,-85,,,182,195,-205,,195,,DQ,,,,,Yes,New Zealand,,WP,WP,2019-04-12,Australia,NSW,Sydney,Pacific Challenge,Yes
Karlina Tongotea,F,SBD,Raw,25.5,24-34,24-39,Open,63.6,64,137.5,150,155,,155,85,-92.5,92.5,,92.5,175,190,-205,,190,437.5,1,467.84,466.51,411.89,95.14,Yes,New Zealand,,WP,WP,2018-12-14,Australia,QLD,Brisbane,Oceania Championships,Yes
Karlina Tongotea,F,SBD,Raw,25.5,24-34,24-39,Open,68.56,72,145,152.5,157.5,,157.5,75,82.5,90,,90,170,185,200.5,,200.5,448,2,458.40,452.20,398.79,93.15,Yes,New Zealand,,NZPF,IPF,2018-08-23,New Zealand,NTL,Whangarei,New Zealand Powerlifting Championships,Yes
Karlina Tongotea,F,SBD,Raw,25.5,24-34,24-39,Open,69.5,72,135,145,150,,150,75,80,85,,85,175,185,-192.5,,185,420,1,426.44,419.91,370.21,86.67,Yes,New Zealand,,NZPF,IPF,2018-06-02,New Zealand,AKL,Auckland,North Island Championships,Yes
Karlina Tongotea,F,SBD,Raw,25.5,24-34,24-39,Open,69,72,140,147.5,-152.5,,147.5,70,75,80,,80,160,170,175,,175,402.5,2,410.35,404.45,356.63,83.39,Yes,New Zealand,,NZPF,IPF,2018-04-08,New Zealand,AKL,Auckland,Auckland Powerlifting Championships,Yes
