Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Kristy Hawkins,F,SBD,Wraps,43,40-44,40-49,Open,74,75,285,300,310,,310,147.5,152.5,-155,,152.5,262.5,-275,-275,,262.5,725,1,711.19,695.09,611.74,144.79,,USA,CA,WRPF,WRPF,2023-10-28,USA,VA,Manassas,The American Pro 2,Yes
Kristy Hawkins,F,SBD,Raw,42,40-44,40-49,Open,73.6,75,252.5,265,-272.5,,265,142.5,150,-155,,150,260,272.5,-280,,272.5,687.5,1,676.36,661.44,582.23,137.67,,USA,CA,WRPF,WRPF,2022-12-04,USA,CA,Los Angeles,PPC Finals,Yes
Kristy Hawkins,F,SBD,Wraps,41,40-44,40-49,Open,74.3,75,275,290,-300,,290,145,152.5,-157.5,,152.5,265,277.5,-282.5,,277.5,720,1,704.76,688.52,605.87,143.50,,USA,CA,WRPF,WRPF,2022-07-29,USA,VA,Manassas,American Pro,Yes
Kristy Hawkins,F,SBD,Wraps,41,40-44,40-49,Masters 40-44,74.3,75,275,290,-300,,290,145,152.5,-157.5,,152.5,265,277.5,-282.5,,277.5,720,1,704.76,688.52,605.87,143.50,,USA,CA,WRPF,WRPF,2022-07-29,USA,VA,Manassas,American Pro,Yes
Kristy Hawkins,F,SBD,Raw,41,40-44,40-49,Open,74,75,240,255,262.5,,262.5,140,145,147.5,,147.5,267.5,275,,,275,685,1,671.95,656.74,577.99,136.80,,USA,CA,WRPF,WRPF,2021-09-25,USA,MO,Kansas City,The Bucked Up Showdown,Yes
Kristy Hawkins,F,SBD,Raw,40,40-44,40-49,Open,74.4,75,245,255,260,,260,140,150,155,,155,265,-272.5,-272.5,,265,680,1,665.13,649.72,571.69,135.44,,USA,CA,USPA,IPL,2020-12-05,USA,MO,Kansas City,Only the Strong,Yes
Kristy Hawkins,F,SBD,Raw,39,35-39,24-39,Open,74.12,75,230,-245,-245,,230,145,152.5,-156.5,,152.5,245,257.5,262.5,,262.5,645,1,632.17,617.75,543.64,128.71,,USA,CA,SPF,,2019-11-09,USA,CA,Dublin,Slingshot Record Breakers,Yes
Kristy Hawkins,F,SBD,Wraps,39,35-39,24-39,Pro Open,74.7,75,262.5,275,285,,285,145,150,-155,,150,245,255,-260,,255,690,1,673.47,657.60,578.54,137.17,,USA,CA,USA-UA,,2019-08-30,USA,CA,Mountain View,Boss of Bosses 6,Yes
Kristy Hawkins,F,D,Raw,38,35-39,24-39,Open,77.2,82.5,,,,,,,,,,,,,,,250,250,1,239.85,233.50,205.15,,,USA,CA,USA-UA,,2018-12-15,USA,FL,Miami,Hybrid Deadlift Invitational,Yes
Kristy Hawkins,F,SBD,Raw,38,35-39,24-39,Open,74.03,75,225,240,-245,,240,145,150.5,-153,,150.5,240,253,-260,,253,643.5,1,631.10,616.80,542.82,128.49,,USA,CA,SPF,,2018-11-10,USA,CA,Dublin,Slingshot Record Breakers,Yes
