Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Natalie Richards #1,F,SBD,Raw,25.5,24-34,24-39,Open,56.36,,172.5,180,186.5,,186.5,100,107.5,110,,110,205,220,-230,,220,516.5,9,596.16,604.67,534.79,122.19,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Natalie Richards #1,F,SBD,Raw,24.5,24-34,24-39,Open,55.8,57,165,172.5,180,,180,97.5,105,107.5,,107.5,200,215,225,,225,512.5,1,595.46,604.70,534.92,122.18,Yes,USA,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Natalie Richards #1,F,SBD,Raw,24.5,24-34,24-39,FR-O,56.36,57,160,167.5,175,,175,97.5,105,-110,,105,198,210,221.5,,221.5,501.5,1,578.84,587.11,519.26,118.64,Yes,USA,NC,AMP,IPF,2023-02-24,USA,TX,Austin,Classic National Championship,Yes
Natalie Richards #1,F,SBD,Raw,23.5,24-34,24-39,FR-O,58.62,63,65,,,,65,65,,,,65,65,,,,65,195,1,219.39,221.37,195.66,44.81,Yes,USA,NC,AMP,IPF,2022-11-05,USA,TN,,Power Partners Championships,Yes
Natalie Richards #1,F,SBD,Raw,23.5,24-34,24-39,FR-O,57.35,,162.5,172.5,178.5,,178.5,92.5,102.5,107.5,,107.5,185,205,215,,215,501,1,571.70,578.58,511.54,116.98,Yes,USA,NC,USAPL,,2022-10-15,USA,SC,,Carolina Primetime,Yes
Natalie Richards #1,F,SBD,Raw,23.5,24-34,24-39,FR-O,57.69,60,162.5,170,-177.5,,170,97.5,102.5,105,,105,-210,-210,-215,,,,DQ,,,,,Yes,USA,NC,USAPL,,2022-06-08,USA,NV,Las Vegas,Mega Nationals,Yes
Natalie Richards #1,F,SBD,Raw,22.5,20-23,19-23,FR-Jr,56.15,,162.5,167.5,172.5,,172.5,92.5,97.5,100,,100,190,205,212.5,,212.5,485,2,561.18,569.46,503.68,115.07,Yes,USA,NC,USAPL,,2021-12-04,USA,VA,,Virginia Pro,Yes
Natalie Richards #1,F,SBD,Raw,22.5,20-23,19-23,FR-O,56.1,57,155,160,167.5,,167.5,90,95,97.5,,97.5,190,200,205,,205,470,1,544.14,552.23,488.45,111.59,Yes,USA,NC,USAPL,IPF,2021-06-12,USA,SC,,Carolina Primetime,Yes
Natalie Richards #1,F,SBD,Raw,22.5,20-23,19-23,FR-Jr,56.1,57,155,160,167.5,,167.5,90,95,97.5,,97.5,190,200,205,,205,470,1,544.14,552.23,488.45,111.59,Yes,USA,NC,USAPL,IPF,2021-06-12,USA,SC,,Carolina Primetime,Yes
Natalie Richards #1,F,SBD,Raw,21.5,20-23,19-23,FR-Jr,55.6,57,150,160,167.5,,167.5,85,90,-95,,90,165,-180,182.5,,182.5,440,1,512.44,520.62,460.58,105.19,Yes,USA,NC,USAPL,IPF,2020-12-13,USA,SC,,SC State Championship,Yes
Natalie Richards #1,F,SBD,Raw,21.5,20-23,19-23,FR-O,55.6,57,150,160,167.5,,167.5,85,90,-95,,90,165,-180,182.5,,182.5,440,1,512.44,520.62,460.58,105.19,Yes,USA,NC,USAPL,IPF,2020-12-13,USA,SC,,SC State Championship,Yes
Natalie Richards #1,F,SBD,Raw,21.5,20-23,19-23,FR-O,56.3,57,142.5,150,157.5,,157.5,75,80,-85,,80,142.5,155,-170,,155,392.5,1,453.35,459.89,406.74,92.93,Yes,USA,NC,USAPL,IPF,2020-06-20,USA,NC,,North Carolina Quailifier,Yes
Natalie Richards #1,F,SBD,Raw,20.5,20-23,19-23,FR-O,54.95,57,127.5,137.5,-142.5,,137.5,70,75,77.5,,77.5,125,130,135,,135,350,1,410.84,417.97,369.86,84.45,Yes,USA,NC,USAPL,IPF,2019-11-02,USA,NC,,Fall Festival of Power,Yes
Natalie Richards #1,F,SBD,Raw,20.5,20-23,19-23,FR-Jr,54.95,57,127.5,137.5,-142.5,,137.5,70,75,77.5,,77.5,125,130,135,,135,350,1,410.84,417.97,369.86,84.45,Yes,USA,NC,USAPL,IPF,2019-11-02,USA,NC,,Fall Festival of Power,Yes
