Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Noémie Allabert,F,SBD,Raw,33,24-34,24-39,Open,51.87,,157.5,165,-170,,165,80,-85,85,,85,187.5,197.5,-205,,197.5,447.5,12,546.41,558.95,495.51,113.24,Yes,France,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Noémie Allabert,F,SBD,Raw,33,24-34,24-39,Open,52.08,,150,-157.5,162.5,,162.5,77.5,82.5,87.5,,87.5,175,187.5,195,,195,445,4,541.83,554.09,491.13,112.22,Yes,France,,FFForce,IPF,2023-10-22,France,,Cenon,Girl Power,Yes
Noémie Allabert,F,SBD,Raw,33,24-34,24-39,Open,51.87,52,145,152.5,160,,160,75,80,-82.5,,80,165,172.5,180,,180,420,1,512.83,524.60,465.06,106.28,Yes,France,,FFForce,IPF,2023-09-20,France,,Le Crès,Championnats de France Élite de Force Athlétique,Yes
Noémie Allabert,F,SBD,Raw,32.5,24-34,24-39,Open,52,52,-162.5,162.5,-170,,162.5,82.5,87.5,-90,,87.5,187.5,195,200,,200,450,2,548.51,560.99,497.26,113.63,Yes,France,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Noémie Allabert,F,SBD,Raw,32,24-34,24-39,Open,51.9,,160,167.5,171.5,,171.5,77.5,82.5,87.5,,87.5,187.5,195,-203,,195,454,2,554.12,566.82,502.47,114.83,Yes,France,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Noémie Allabert,F,SBD,Raw,32,24-34,24-39,Open,51.89,52,160,165,167.5,,167.5,77.5,82.5,85,,85,180,185,,,185,437.5,1,534.06,546.30,484.28,110.67,Yes,France,,EPF,IPF,2022-11-25,Poland,,Skierniewice,European Classic Powerlifting Championships,Yes
Noémie Allabert,F,SBD,Raw,32,24-34,24-39,Open,51.92,52,157.5,162.5,165,,165,77.5,82.5,-87.5,,82.5,175,182.5,185,,185,432.5,7,527.74,539.81,478.52,109.35,Yes,France,,IPF,IPF,2022-09-23,England,,Birmingham,Arnold Sports Festival,Yes
Noémie Allabert,F,SBD,Raw,31.5,24-34,24-39,Open,51.6,52,160,165,168,,168,77.5,-82.5,-82.5,,77.5,182.5,190,192.5,,192.5,438,1,536.76,549.29,487.04,111.34,Yes,France,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Noémie Allabert,F,SBD,Raw,31,24-34,24-39,Open,51.89,52,152.5,160,165,,165,77.5,82.5,85,,85,185,-195,195,,195,445,1,543.21,555.66,492.58,112.57,Yes,France,,FFForce,IPF,2022-03-19,France,,Albi,Championnats de France Élite de Force Athlétique,Yes
Noémie Allabert,F,SBD,Raw,31,24-34,24-39,Open,51.15,52,150,-157.5,157.5,,157.5,75,80,82.5,,82.5,182.5,190,196,,196,436,1,537.60,550.47,488.27,111.68,Yes,France,,EPF,IPF,2021-12-03,Sweden,,Vasteras,European Classic Powerlifting Championships,Yes
Noémie Allabert,F,SBD,Raw,31,24-34,24-39,Open,49.9,52,150,155,157.5,,157.5,72.5,77.5,80,,80,182.5,187.5,192.5,,192.5,430,1,539.56,553.23,491.29,112.61,Yes,France,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Noémie Allabert,F,SBD,Raw,30.5,24-34,24-39,Open,50.55,52,145,153.5,156,,156,72.5,77.5,-80,,77.5,180,-190.5,190.5,,190.5,424,1,527.17,540.18,479.39,109.75,Yes,France,,FFForce,IPF,2021-07-16,France,,Port-la-Nouvelle,Championnats de France Jeunes et Élite de Force Athlétique,Yes
Noémie Allabert,F,SBD,Raw,30,24-34,24-39,Seniors,51,52,147.5,-155,157.5,,157.5,75,80,-82.5,,80,170,182.5,190,,190,427.5,2,528.20,540.96,479.89,109.79,Yes,France,,FFForce,IPF,2021-02-13,France,,Bordeaux,Test Match Eleiko,Yes
