Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Prescillia Bavoil,F,SBD,Raw,30,24-34,24-39,Open,66.46,,207.5,218,225,,225,110,117.5,122.5,,122.5,225,235,237.5,,237.5,585,2,609.42,603.80,532.77,123.83,Yes,France,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Prescillia Bavoil,F,S,Raw,29,24-34,24-39,Prime Time,64.5,,180,190,200,,200,,,,,,,,,,,200,G,212.07,211.03,186.29,,Yes,France,,FFForce,IPF,2023-07-01,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Prescillia Bavoil,F,SBD,Raw,29,24-34,24-39,Open,65.25,69,195,205,211.5,,211.5,105,110,115,,115,210,222.5,-240.5,,222.5,549,1,578.14,574.32,506.91,117.50,Yes,France,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Prescillia Bavoil,F,SBD,Raw,29,24-34,24-39,Open,66.3,,195,206,211,,211,105,112.5,115,,115,210,222.5,-234.5,,222.5,548.5,8,572.20,567.12,500.43,116.27,Yes,France,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Prescillia Bavoil,F,SBD,Raw,28,24-34,24-39,Open,62.6,63,200,210.5,213,,213,102.5,110,112.5,,112.5,210,222.5,231,,231,556.5,1,600.86,600.55,530.34,122.26,Yes,France,,IPF,IPF,2022-09-23,England,,Birmingham,Arnold Sports Festival,Yes
Prescillia Bavoil,F,D,Raw,28,24-34,24-39,Prime Time,64,,,,,,,,,,,,190,200,210,,210,210,G,223.72,222.87,196.76,,Yes,France,,FFForce,IPF,2022-07-02,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Prescillia Bavoil,F,SBD,Raw,28,24-34,24-39,Open,65,69,192.5,202.5,210.5,,210.5,105,112.5,115,,115,215,225,-235,,225,550.5,1,581.04,577.53,509.76,118.10,Yes,France,,FFForce,IPF,2022-03-19,France,,Albi,Championnats de France Élite de Force Athlétique,Yes
Prescillia Bavoil,F,SBD,Raw,27.5,24-34,24-39,Open,65.15,69,-190,195.5,205.5,,205.5,100,107.5,112.5,,112.5,215,225,230,,230,548,1,577.61,573.93,506.57,117.40,Yes,France,,EPF,IPF,2021-12-03,Sweden,,Vasteras,European Classic Powerlifting Championships,Yes
Prescillia Bavoil,F,SBD,Raw,27,24-34,24-39,Open,65.44,,187.5,195,200,,200,100,105,107.5,,107.5,210,220,227.5,,227.5,535,1,562.43,558.48,492.90,114.30,Yes,France,,FFForce,IPF,2021-10-30,France,,Cambrai,Girl Power,Yes
Prescillia Bavoil,F,SBD,Raw,27,24-34,24-39,Open,62.86,63,195,205,-210,,205,107.5,112.5,-115,,112.5,215,225,230.5,,230.5,548,1,590.18,589.52,520.57,120.07,Yes,France,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Prescillia Bavoil,F,SBD,Raw,27,24-34,24-39,Open,64.93,72,195,202.5,210,,210,105,110,112.5,,112.5,215,225,230,,230,552.5,1,583.53,580.09,512.03,118.61,Yes,France,,FFForce,IPF,2021-07-16,France,,Port-la-Nouvelle,Championnats de France Jeunes et Élite de Force Athlétique,Yes
Prescillia Bavoil,F,SBD,Raw,27,24-34,24-39,Prime Time,64.85,72,190,200,205,,205,105,112.5,-117.5,,112.5,210,220,227.5,,227.5,545,1,576.03,572.74,505.55,117.08,Yes,France,,FFForce,IPF,2021-07-03,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Prescillia Bavoil,F,SBD,Raw,27,24-34,24-39,Seniors,62.91,63,200,210,-218,,210,102.5,110,112.5,,112.5,210,-220,225,,225,547.5,1,589.36,588.63,519.78,119.89,Yes,France,,FFForce,IPF,2021-02-13,France,,Bordeaux,Test Match Eleiko,Yes
Prescillia Bavoil,F,SBD,Raw,26,24-34,24-39,Prime Time,64.1,72,192.5,200,210,,210,102.5,110,112.5,,112.5,210,220,-227.5,,220,542.5,1,577.39,575.08,507.69,117.39,Yes,France,,FFForce,IPF,2020-09-12,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Prescillia Bavoil,F,SBD,Raw,25,24-34,24-39,Open,63,63,-182.5,185,193,,193,97.5,102.5,105,,105,200,207.5,216,,216,514,1,552.81,552.01,487.44,112.45,Yes,France,,EPF,IPF,2019-11-29,Lithuania,,Kaunas,European Classic Powerlifting Championships,Yes
Prescillia Bavoil,F,SBD,Raw,25,24-34,24-39,Open,62.55,63,175,184,188,,188,95,100,-102.5,,100,187.5,197.5,202.5,,202.5,490.5,3,529.85,529.65,467.73,107.81,Yes,France,,IPF,IPF,2019-06-04,Sweden,,Helsingborg,World Classic Powerlifting Championships,Yes
Prescillia Bavoil,F,SBD,Raw,25,24-34,24-39,Open,62.79,63,165,172.5,180,,180,90,95,-100,,95,182.5,192.5,200.5,,200.5,475.5,1,512.45,511.96,452.09,104.26,Yes,France,,FFForce,IPF,2019-03-16,France,,Nantes,Championnats de France Force Athlétique Elite,Yes
Prescillia Bavoil,F,SBD,Raw,24,24-34,24-39,Open,62.25,63,-170,-175,175,,175,87.5,92.5,95,,95,190,200,-207.5,,200,470,2,509.21,509.37,449.85,103.63,Yes,France,,EPF,IPF,2018-11-24,Lithuania,,Kaunas,European Classic Powerlifting Championships,Yes
Prescillia Bavoil,F,SBD,Raw,24,24-34,24-39,Seniors,62.97,63,162.5,170,175,,175,85,90,92.5,,92.5,182.5,192.5,200,,200,467.5,1,502.95,502.26,443.50,102.31,Yes,France,,FFForce,IPF,2018-09-01,France,,Bourges,Test de sélection pour les Championnats d'Europe de Force Athlétique,Yes
Prescillia Bavoil,F,SBD,Raw,24,24-34,24-39,Open,61.59,63,160,-165,165,,165,82.5,87.5,-90,,87.5,185,192.5,,,192.5,445,1,485.30,486.22,429.46,98.81,Yes,France,,FFForce,IPF,2018-04-28,France,,Escaudain,Championnats de France Force Athlétique Elite,Yes
Prescillia Bavoil,F,SBD,Raw,23,20-23,24-39,Seniors,61.2,63,152.5,160,,,160,85,90,,,90,180,-190,,,180,430,1,470.80,472.13,417.05,95.89,Yes,France,,FFForce,IPF,2017-12-02,France,,Leucate,Régional FA PL DC BP Occitanie,Yes
Prescillia Bavoil,F,SBD,Raw,23,20-23,24-39,Open,60.97,63,-152.5,-152.5,152.5,,152.5,80,85,87.5,,87.5,170,177.5,-182.5,,177.5,417.5,1,458.18,459.73,406.12,93.34,Yes,France,,FFForce,IPF,2017-04-08,France,,Port-la-Nouvelle,Championnats de France Force Athlétique Open,Yes
Prescillia Bavoil,F,SBD,Raw,22,20-23,19-23,Seniors,61.9,63,130,135,140,,140,75,,,,75,155,162.5,170,,170,385,1,418.57,419.05,370.11,85.21,Yes,France,,FFForce,IPF,2016-11-20,France,,Péronne,Départemental FA PL Hauts-de-France,Yes
Prescillia Bavoil,F,SBD,Raw,22,20-23,19-23,Juniors,61.4,63,130,-135,135,,135,75,77.5,80,,80,150,155,160,,160,375,1,409.75,410.71,362.78,83.44,Yes,France,,FFForce,IPF,2016-04-30,France,,Port-la-Nouvelle,Championnats de France Force Athlétique Jeunes,Yes
Prescillia Bavoil,F,SBD,Raw,22,20-23,19-23,Juniors,60.7,63,100,110,120,,120,60,70,75,,75,130,140,150,,150,345,1,379.67,381.20,336.76,77.36,Yes,France,,FFForce,IPF,2016-01-24,France,,Calais,Compétition Interrégionale FA PL NPCP,Yes
Prescillia Bavoil,F,SBD,Raw,21,20-23,19-23,Juniors,60.8,63,100,-110,-110,,100,65,-70,70,,70,120,-130,-130,,120,290,1,318.82,320.02,282.71,64.96,Yes,France,,FFForce,IPF,2015-10-31,France,,Péronne,Départemental FA PL NPCP,Yes
Prescillia Bavoil,F,SBD,Raw,21,20-23,19-23,Juniors,60.5,63,85,95,105,,105,50,60,65,,65,100,110,120,,120,290,1,319.80,321.25,283.81,65.18,Yes,France,,FFForce,IPF,2015-10-10,France,,Doullens,Premier Pas FA PL NPCP,Yes
