Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Sonita Muluh,F,SBD,Raw,27,24-34,24-39,Open,127.31,84+,235,255,275,,275,130,140,-145,,140,235,252.5,-261,,252.5,667.5,1,527.41,528.20,446.19,113.38,Yes,Belgium,,EPF,IPF,2024-03-12,Croatia,,Velika Gorica,European Open Classic Powerlifting Championships,Yes
Sonita Muluh,F,SBD,Raw,27,24-34,24-39,Open,125.6,84+,,,,,,,,,,,,,,,,,NS,,,,,Yes,Belgium,,VGPF,IPF,2024-02-24,Belgium,,Gent,Kwalificatiewedstrijd 1,Yes
Sonita Muluh,F,SBD,Raw,27,24-34,24-39,Open,126.63,,270,290.5,300.5,,300.5,140,147.5,-152.5,,147.5,-245,250,260,,260,708,6,560.13,560.79,473.83,120.35,Yes,Belgium,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Sonita Muluh,F,SBD,Raw,27,24-34,24-39,Open,126.02,84+,240,260,275,,275,125,135,142.5,,142.5,237.5,257.5,,,257.5,675,1,534.65,535.11,452.24,114.82,Yes,Belgium,,EPF,IPF,2023-12-04,Estonia,,Tartu,European Open Classic Powerlifting Championships,Yes
Sonita Muluh,F,D,Raw,26,24-34,24-39,Prime Time,123,,,,,,,,,,,,235,250,262.5,,262.5,262.5,G,209.21,208.99,176.85,,Yes,Belgium,,FFForce,IPF,2023-07-01,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Sonita Muluh,F,SBD,Raw,26,24-34,24-39,Open,123.05,84+,260,277.5,285.5,,285.5,135,-142.5,142.5,,142.5,245,260.5,-267.5,,260.5,688.5,2,548.66,548.12,463.80,117.54,Yes,Belgium,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Sonita Muluh,F,SBD,Raw,26,24-34,24-39,Open,120.1,84+,230,250,-270.5,,250,132.5,140,,,140,240,260,-270.5,,260,650,1,521.42,519.70,440.35,111.41,Yes,Belgium,,KBGV,IPF,2023-04-08,Belgium,,Leuven,Belgisch Kampioenschap - Championnats de Belgique - Powerlifting - Classic - Open,Yes
Sonita Muluh,F,SBD,Raw,26,24-34,24-39,Open,118.11,84+,240,257.5,270,,270,125,132.5,137.5,,137.5,235,-253.5,253.5,,253.5,661,1,532.79,530.08,449.57,113.62,Yes,Belgium,,EPF,IPF,2022-11-25,Poland,,Skierniewice,European Classic Powerlifting Championships,Yes
Sonita Muluh,F,SBD,Raw,25,24-34,24-39,Open,109,84+,227.5,242.5,253,,253,115,122.5,127.5,,127.5,235,250.5,-258,,250.5,631,1,521.75,514.05,437.72,110.20,Yes,Belgium,,EPF,IPF,2022-09-09,France,,Aulnat,Western European Powerlifting Championships,Yes
Sonita Muluh,F,SBD,Raw,25,24-34,24-39,Open,108,84+,,,,,235,,,,,120,,,,,250.5,605.5,1,502.26,494.28,421.02,105.96,Yes,Belgium,,VGPF,IPF,2022-08-20,Belgium,,Leuven,Vlaams Kampioenschap - Powerlifting & Bench Press - Classic & Equipped,Yes
