Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Tiffany Chapon,F,SBD,Raw,22.5,20-23,19-23,Open,46.77,,155,161.5,-162.5,,161.5,95,100,-101,,100,160,167.5,170,,170,431.5,10,567.57,582.38,519.35,120.20,Yes,France,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Tiffany Chapon,F,SBD,Raw,22,20-23,19-23,Prime Time,48.1,,140,150,155,,155,90,95,100,,100,140,150,155,,155,410,1,528.28,542.18,482.52,111.12,Yes,France,,FFForce,IPF,2023-12-16,France,,Lyon,Silent Worker Meet - Winter Edition,Yes
Tiffany Chapon,F,SBD,Raw,22,20-23,19-23,Prime Time,47.27,,150,155,-160,,155,92.5,-97.5,-97.5,,92.5,155,160,165,,165,412.5,1,538.33,552.47,492.28,113.70,Yes,France,,FFForce,IPF,2023-07-01,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Tiffany Chapon,F,SBD,Raw,21.5,20-23,19-23,Open,46.9,47,150,157.5,-160,,157.5,95,99.5,-100.5,,99.5,160,167.5,-172.5,,167.5,424.5,1,557.21,571.79,509.79,117.92,Yes,France,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Tiffany Chapon,F,SBD,Raw,21.5,20-23,19-23,Open,46.7,,152.5,-161,161,,161,95,-99.5,-99.5,,95,165,172.5,-177.5,,172.5,428.5,7,564.25,578.95,516.35,119.54,Yes,France,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Tiffany Chapon,F,SBD,Raw,21,20-23,19-23,Open,46.95,47,140,150,-155,,150,90,95,-97.5,,95,162.5,-171,-171,,162.5,407.5,1,534.48,548.47,488.96,113.08,Yes,France,,EPF,IPF,2022-11-25,Poland,,Skierniewice,European Classic Powerlifting Championships,Yes
Tiffany Chapon,F,SBD,Raw,21,20-23,19-23,Open,47.05,52,152.5,-160,160,,160,92.5,-97.5,-97.5,,92.5,165,172.5,-175,,172.5,425,3,556.55,571.14,509.09,117.69,Yes,France,,IPF,IPF,2022-09-23,England,,Birmingham,Arnold Sports Festival,Yes
Tiffany Chapon,F,SBD,Raw,21,20-23,19-23,Prime Time,48.86,,145,155,-162.5,,155,90,-95,-95,,90,165,-172.5,-172.5,,165,410,1,522.30,535.92,476.47,109.48,Yes,France,,FFForce,IPF,2022-07-02,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Tiffany Chapon,F,SBD,Raw,20.5,20-23,19-23,Open,46.9,47,152.5,160.5,-163,,160.5,90,96,,,96,160,167.5,170,,170,426.5,1,559.84,574.48,512.19,118.48,Yes,France,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Tiffany Chapon,F,SBD,Raw,20.5,20-23,19-23,Juniors,49.29,52,150,160,165.5,,165.5,90,95,-100,,95,160,170,-176,,170,430.5,1,544.97,559.03,496.77,114.02,Yes,France,,FFForce,IPF,2022-05-14,France,,Saint-Germain-en-Laye,Championnats de France Jeunes de Force Athlétique,Yes
Tiffany Chapon,F,SBD,Raw,20.5,20-23,19-23,Open,46.9,47,147.5,155,-160,,155,87.5,93,-96,,93,155,165,170,,170,418,1,548.68,563.03,501.99,116.12,Yes,France,,FFForce,IPF,2022-03-19,France,,Albi,Championnats de France Élite de Force Athlétique,Yes
Tiffany Chapon,F,SBD,Raw,20,20-23,19-23,Open,46.3,47,147.5,153,-154,,153,82.5,87.5,-90,,87.5,155,162.5,-167.5,,162.5,403,1,534.07,547.85,488.96,113.40,Yes,France,,EPF,IPF,2021-12-03,Sweden,,Vasteras,European Classic Powerlifting Championships,Yes
Tiffany Chapon,F,SBD,Raw,20,20-23,19-23,Open,46.38,,142.5,147.5,-150,,147.5,82.5,87.5,90,,90,150,160,165,,165,402.5,2,532.73,546.50,487.68,113.07,Yes,France,,FFForce,IPF,2021-10-30,France,,Cambrai,Girl Power,Yes
Tiffany Chapon,F,SBD,Raw,20,20-23,19-23,Open,46.5,47,142.5,150,-153,,150,-82.5,-82.5,82.5,,82.5,150,160,165,,165,397.5,1,525.10,538.72,480.64,111.37,Yes,France,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Tiffany Chapon,F,SBD,Raw,20,20-23,19-23,Open,44.28,47,127.5,132.5,-138,,132.5,75,80,82.5,,82.5,145,-155,155,,155,370,1,507.15,518.77,464.99,109.09,Yes,France,,FFForce,IPF,2021-07-16,France,,Port-la-Nouvelle,Championnats de France Jeunes et Élite de Force Athlétique,Yes
Tiffany Chapon,F,SBD,Raw,20,20-23,19-23,Prime Time,45.02,47,127.5,132.5,-140,,132.5,77.5,82.5,85,,85,145,155,160,,160,377.5,2,510.94,523.35,468.29,109.35,Yes,France,,FFForce,IPF,2021-07-03,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Tiffany Chapon,F,SBD,Raw,19.5,20-23,19-23,Juniors,42.94,43,122.5,-130,-130,,122.5,67.5,70,-72.5,,70,137.5,142.5,146.5,,146.5,339,1,475.81,485.03,436.31,103.39,Yes,France,,FFForce,IPF,2021-02-13,France,,Bordeaux,Test Match Eleiko,Yes
Tiffany Chapon,F,SBD,Raw,19,18-19,19-23,Open,40.83,43,95,100,102.5,,102.5,52.5,57.5,60,,60,112.5,117.5,-129,,117.5,280,1,408.93,413.28,374.43,90.58,Yes,France,,FFForce,IPF,2020-09-12,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
