Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Timothy Monigatti,M,SBD,Raw,27,24-34,24-39,Open,73.71,,270,284,288.5,,288.5,165,170,-175,,170,315,331,-348.5,,331,789.5,6,572.79,569.49,550.67,116.14,Yes,New Zealand,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Timothy Monigatti,M,SBD,Raw,26,24-34,24-39,Open,73.5,74,262.5,275,-280,,275,160,-165,165,,165,300,-312.5,312.5,,312.5,752.5,1,546.96,543.91,526.00,110.86,Yes,New Zealand,,NZPF,IPF,2023-09-06,New Zealand,CAN,Christchurch,New Zealand Nationals,Yes
Timothy Monigatti,M,SBD,Raw,26,24-34,24-39,Open,77.59,83,262.5,275,285,,285,155,160,165,,165,300,315,320,,320,770,1,540.80,536.17,517.31,110.31,Yes,New Zealand,,AsianPF,IPF,2023-06-24,China,,Hong Kong,Asian/Pacific/African Classic & Equipped Powerlifting Championships,Yes
Timothy Monigatti,M,SBD,Raw,26,24-34,24-39,Open,73.85,74,267.5,277.5,283.5,,283.5,165,170,-172.5,,170,297.5,315,324.5,,324.5,778,2,563.74,560.43,541.87,114.34,Yes,New Zealand,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Timothy Monigatti,M,SBD,Raw,26,24-34,24-39,Open,73.8,74,260,-270,-270,,260,162.5,167.5,-172.5,,167.5,290,305,-322.5,,305,732.5,1,531.01,527.91,510.44,107.69,Yes,New Zealand,,NZPF,IPF,2023-03-04,New Zealand,AKL,Auckland,Get Strength Classic,Yes
Timothy Monigatti,M,SBD,Raw,25,24-34,24-39,Open,82.55,83,275,290,-300,,290,177.5,182.5,185,,185,307.5,325,-330,,325,800,1,541.73,535.73,515.46,111.05,Yes,New Zealand,,CommonwealthPF,IPF,2022-11-28,New Zealand,,Auckland,Commonwealth Championships,Yes
Timothy Monigatti,M,SBD,Raw,25,24-34,24-39,Open,82.96,83,250,270,280,,280,175,-180,180,,180,307.5,317.5,-322,,317.5,777.5,1,525.02,519.13,499.38,107.65,Yes,New Zealand,,NZPF,IPF,2022-08-01,New Zealand,MWT,Palmerston North,New Zealand Championships,Yes
Timothy Monigatti,M,SBD,Raw,25,24-34,24-39,Open,82.4,83,-280,280,-295,,280,170,175,180,,180,305,-330,-340,,305,765,5,518.56,512.85,493.49,106.29,Yes,New Zealand,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Timothy Monigatti,M,SBD,Raw,25,24-34,24-39,Open,82.85,83,280,295,307.5,,307.5,170,177.5,182.5,,182.5,300,312.5,322.5,,322.5,812.5,1,549.07,542.93,522.30,112.57,Yes,New Zealand,,NZPF,IPF,2022-04-09,New Zealand,WKO,Hamilton,3 Lift Championships,Yes
Timothy Monigatti,M,SBD,Raw,24,24-34,24-39,Open,82.9,83,272.5,287.5,300.5,,300.5,170,175,180,,180,302.5,322,328,,328,808.5,1,546.18,540.06,519.53,111.99,Yes,New Zealand,,NZPF,IPF,2021-11-13,New Zealand,OTA,Dunedin,Dunedin Club 3-Lift,Yes
