Name,Sex,Event,Equipment,Age,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Dots,Tested,Date,Sanctioned,Year,CompetitionFrequency,MaxTotalKg,PreviousMaxTotalKg,YoYPerformanceImprovement
Noémie Allabert,F,SBD,Raw,33.0,Open,51.87,157.5,165.0,-170.0,165.0,80.0,-85.0,85.0,85.0,187.5,197.5,-205.0,197.5,447.5,12,546.41,Yes,2024-02-10,Yes,2024,29,447.5,,
Noémie Allabert,F,SBD,Raw,33.0,Open,52.08,150.0,-157.5,162.5,162.5,77.5,82.5,87.5,87.5,175.0,187.5,195.0,195.0,445.0,4,541.83,Yes,2023-10-22,Yes,2023,29,454.0,447.5,6.5
Noémie Allabert,F,SBD,Raw,33.0,Open,51.87,145.0,152.5,160.0,160.0,75.0,80.0,-82.5,80.0,165.0,172.5,180.0,180.0,420.0,1,512.83,Yes,2023-09-20,Yes,2023,29,454.0,454.0,0.0
Noémie Allabert,F,SBD,Raw,32.5,Open,52.0,-162.5,162.5,-170.0,162.5,82.5,87.5,-90.0,87.5,187.5,195.0,200.0,200.0,450.0,2,548.51,Yes,2023-06-11,Yes,2023,29,454.0,454.0,0.0
Noémie Allabert,F,SBD,Raw,32.0,Open,51.9,160.0,167.5,171.5,171.5,77.5,82.5,87.5,87.5,187.5,195.0,-203.0,195.0,454.0,2,554.12,Yes,2023-03-25,Yes,2023,29,454.0,454.0,0.0
Noémie Allabert,F,SBD,Raw,32.0,Open,51.89,160.0,165.0,167.5,167.5,77.5,82.5,85.0,85.0,180.0,185.0,,185.0,437.5,1,534.06,Yes,2022-11-25,Yes,2022,29,445.0,454.0,-9.0
Noémie Allabert,F,SBD,Raw,32.0,Open,51.92,157.5,162.5,165.0,165.0,77.5,82.5,-87.5,82.5,175.0,182.5,185.0,185.0,432.5,7,527.74,Yes,2022-09-23,Yes,2022,29,445.0,445.0,0.0
Noémie Allabert,F,SBD,Raw,31.5,Open,51.6,160.0,165.0,168.0,168.0,77.5,-82.5,-82.5,77.5,182.5,190.0,192.5,192.5,438.0,1,536.76,Yes,2022-06-06,Yes,2022,29,445.0,445.0,0.0
Noémie Allabert,F,SBD,Raw,31.0,Open,51.89,152.5,160.0,165.0,165.0,77.5,82.5,85.0,85.0,185.0,-195.0,195.0,195.0,445.0,1,543.21,Yes,2022-03-19,Yes,2022,29,445.0,445.0,0.0
Noémie Allabert,F,SBD,Raw,31.0,Open,51.15,150.0,-157.5,157.5,157.5,75.0,80.0,82.5,82.5,182.5,190.0,196.0,196.0,436.0,1,537.6,Yes,2021-12-03,Yes,2021,29,436.0,445.0,-9.0
